NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202012,29,"2,000",55,2,2014,연희로5길 14,-,-,-,,,아파트
2,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,월세,114.705,202012,28,"12,000",150,7,2002,연희로 38-20,-,-,-,,,아파트
3,서울특별시 서대문구 연희동,700,700,0,대림,전세,84.74,202012,28,"37,800",0,1,1993,연희로32길 20,-,-,-,,,아파트
4,서울특별시 서대문구 연희동,740,740,0,성원,전세,84.95,202012,27,"47,000",0,2,2001,연희로32길 48,-,-,-,,,아파트
5,서울특별시 서대문구 연희동,740,740,0,성원,월세,84.95,202012,26,"5,000",150,5,2001,연희로32길 48,-,-,-,,,아파트
6,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,전세,13.642,202012,26,"14,000",0,7,2014,연희로5길 14,-,-,-,,,아파트
7,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202012,23,"4,000",50,6,2014,연희로5길 14,-,-,-,,,아파트
8,서울특별시 서대문구 연희동,739,739,0,대우푸르지오,월세,84.706,202012,22,"7,000",140,1,2002,연희로 38-20,-,-,-,,,아파트
9,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,13.642,202012,21,"3,000",55,5,2014,연희로5길 14,-,-,-,,,아파트
10,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,월세,59.9835,202012,19,"15,000",70,13,2018,홍제천로 136,-,-,-,,,아파트
11,서울특별시 서대문구 연희동,105-4,105,4,은하,전세,49.59,202012,19,"16,500",0,4,1971,연희로15길 127,-,-,-,,,아파트
12,서울특별시 서대문구 연희동,746,746,0,연희웨스트팰리스,전세,13.12,202012,18,"12,600",0,2,2014,연희로5길 54-11,-,-,-,,,아파트
13,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,84.4317,202012,16,"35,000",0,4,2018,홍제천로 136,-,-,-,,,아파트
14,서울특별시 서대문구 연희동,171-10,171,10,제니스APT,월세,59.87,202012,16,"3,000",100,6,2016,모래내로 376,-,-,-,,,아파트
15,서울특별시 서대문구 연희동,738,738,0,임광,월세,59.96,202012,15,"33,000",20,7,1999,동교로 291,-,-,-,,,아파트
16,서울특별시 서대문구 연희동,738,738,0,임광,월세,59.96,202012,15,"33,000",20,7,1999,동교로 291,-,-,-,,,아파트
17,서울특별시 서대문구 연희동,723-9,723,9,홍연(723-9),전세,40.33,202012,13,"9,500",0,5,1981,홍연6길 40,-,-,-,,,아파트
18,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,월세,20.777,202012,11,"6,000",60,9,2014,연희로5길 14,-,-,-,,,아파트
19,서울특별시 서대문구 연희동,196-1,196,1,연희궁,전세,42.38,202012,11,"4,000",0,4,1972,증가로2길 40-16,-,-,-,,,아파트
20,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,전세,112.8619,202012,11,"72,000",0,13,2018,홍제천로 136,-,-,-,,,아파트
21,서울특별시 서대문구 연희동,105-4,105,4,은하,월세,49.59,202012,9,"4,500",40,4,1971,연희로15길 127,-,-,-,,,아파트
22,서울특별시 서대문구 연희동,708-4,708,4,홍연,전세,54.35,202012,7,"17,000",0,3,1981,홍연8길 7,-,-,-,,,아파트
23,서울특별시 서대문구 연희동,746,746,0,연희웨스트팰리스,전세,13.12,202012,7,"16,500",0,3,2014,연희로5길 54-11,202101~202301,신규,-,,,아파트
