NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 서대문구 연희동,523-23,523,23,(523-23),42.82,25.3569,202012,31,"55,800",1,-,-,1992,홍제천로2길 99,-,-,-,-
2,서울특별시 서대문구 연희동,산118-57,118,57,상지주택,59.64,26.46,202012,30,"10,000",-1,-,-,1996,홍제천로2길 34-18,-,-,-,-
3,서울특별시 서대문구 연희동,410-22,410,22,연희백산빌라,28.44,21.97,202012,29,"17,000",1,-,-,1994,성산로 309-45,-,-,-,-
4,서울특별시 서대문구 연희동,724-29,724,29,금창빌라,22.96,16.51,202012,29,"32,000",2,-,-,2015,연희로31길 34,-,-,-,-
5,서울특별시 서대문구 연희동,170-161,170,161,(170-161),59.37,36.4135,202012,28,"27,000",3,-,-,2011,연희로35길 22,-,-,-,-
6,서울특별시 서대문구 연희동,542-19,542,19,초연빌라,53.97,26.56,202012,27,"60,000",2,-,-,2003,홍제천로 30,-,-,-,-
7,서울특별시 서대문구 연희동,177-14,177,14,(177-14),31.98,32.5,202012,27,"6,000",1,-,-,1986,홍연8길 32-11,-,-,-,-
8,서울특별시 서대문구 연희동,446-259,446,259,은성하이츠빌라,92.88,57.286,202012,22,"34,500",4,-,-,1995,성산로7안길 56,-,-,-,-
9,서울특별시 서대문구 연희동,1-60,1,60,별장아트빌라,74.07,40.87,202012,21,"28,500",4,-,-,2000,모래내로20길 46-12,-,-,-,-
10,서울특별시 서대문구 연희동,51,51,0,연희빌라(51-0),46.29,24.708,202012,21,"15,000",3,-,-,1993,연희로18안길 28,-,-,-,-
11,서울특별시 서대문구 연희동,715-6,715,6,연희에이스,39.33,23.09,202012,19,"30,800",4,-,-,2018,홍연6길 15,-,-,-,-
12,서울특별시 서대문구 연희동,719-5,719,5,연희맨션,71.07,49.0169,202012,18,"68,000",2,-,-,1980,가좌로 35,-,-,-,-
13,서울특별시 서대문구 연희동,446-119,446,119,원일빌라,61.28,29.34,202012,12,"23,750",2,-,-,1995,성산로 269-5,-,-,-,-
14,서울특별시 서대문구 연희동,723-24,723,24,연백빌라,47.9,24.5221,202012,11,"10,000",-1,-,-,1986,홍연6안길 18,-,-,-,-
15,서울특별시 서대문구 연희동,520-83,520,83,임탑빌라(520-83),59.57,59.57,202012,10,"15,400",-1,-,-,2001,홍제천로 54-69,-,-,-,-
16,서울특별시 서대문구 연희동,142-30,142,30,동진주택2동,38.52,27.27,202012,9,"16,800",2,-,-,1986,연희로33길 5,-,-,-,-
17,서울특별시 서대문구 연희동,138-43,138,43,지오빌프리미엄B동,115.19,76.75,202012,8,"100,000",2,-,-,2007,연희로28길 15,-,-,-,-
18,서울특별시 서대문구 연희동,78-4,78,4,시아루비움,82.19,32.277,202012,7,"38,700",1,-,-,2004,연희로 183,-,-,-,-
19,서울특별시 서대문구 연희동,142-29,142,29,동진주택3동,44.81,33.57,202012,7,"15,000",2,-,-,1986,연희로 231,-,-,-,-
20,서울특별시 서대문구 연희동,334-85,334,85,(334-85),50.1,22.16,202012,5,"17,700",2,-,-,1994,연희로6길 21-7,-,-,-,-
21,서울특별시 서대문구 연희동,715-6,715,6,연희에이스,53.8,31.58,202012,4,"35,800",2,-,-,2018,홍연6길 15,-,-,-,-
22,서울특별시 서대문구 연희동,1-105,1,105,기단빌라비동,36.0,27.83,202012,3,"11,500",2,-,-,1991,모래내로20길 24-4,-,-,-,-
23,서울특별시 서대문구 연희동,141-34,141,34,동진빌라,45.96,59.83,202012,3,"37,000",2,-,-,1986,연희로36길 26,-,-,-,-
24,서울특별시 서대문구 연희동,724-32,724,32,(724-32),42.72,34.8268,202012,2,"16,000",-1,-,-,1986,연희로31길 27,-,-,-,-
25,서울특별시 서대문구 연희동,542-19,542,19,초연빌라,54.71,26.94,202012,1,"57,800",5,-,-,2003,홍제천로 30,-,-,-,-
26,서울특별시 서대문구 연희동,723-18,723,18,목련빌라다동,46.995,36.4,202011,30,"15,200",1,-,-,1986,홍연6안길 12-9,-,-,-,-
