NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,9*,단독,8m미만,146.98,297.0,202012,26,"182,500",-,-,2018,연희로27다길,-,-,-
2,서울특별시 서대문구 연희동,5**,단독,8m미만,98.32,93.0,202012,25,"77,500",-,-,2000,홍제천로2길,-,-,-
3,서울특별시 서대문구 연희동,4*,다가구,8m미만,194.99,132.0,202012,22,"68,000",-,-,1996,연희로14길,-,-,-
4,서울특별시 서대문구 연희동,4*,단독,8m미만,62.14,132.0,202012,22,"50,000",-,-,1984,연희로14길,-,-,-
5,서울특별시 서대문구 연희동,3**,단독,8m미만,1171.19,371.2,202012,22,"385,000",-,-,2010,연희로10가길,-,-,-
6,서울특별시 서대문구 연희동,5**,다가구,8m미만,165.36,93.0,202012,19,"80,500",-,-,1991,홍제천로2길,-,-,-
7,서울특별시 서대문구 연희동,6*,단독,8m미만,268.94,416.0,202012,18,"180,000",-,-,1988,연희로22길,-,-,-
8,서울특별시 서대문구 연희동,2**,단독,8m미만,158.08,215.0,202012,17,"154,000",-,-,1973,증가로2안길,-,-,-
9,서울특별시 서대문구 연희동,7*,단독,25m이상,407.31,252.9,202012,16,"220,000",-,-,1970,연희로,20210304,-,-
10,서울특별시 서대문구 연희동,4**,단독,8m미만,91.41,179.0,202012,16,"139,500",-,-,1974,성산로7길,-,-,-
11,서울특별시 서대문구 연희동,1**,단독,8m미만,162.84,314.0,202012,12,"155,000",-,-,1975,증가로2안길,-,-,-
12,서울특별시 서대문구 연희동,7**,단독,8m미만,30.51,36.8,202012,5,"21,150",-,-,1972,홍제천로,-,-,-
13,서울특별시 서대문구 연희동,4**,단독,8m미만,238.3,342.0,202012,2,"245,000",-,-,1978,연희로11아길,-,-,-
14,서울특별시 서대문구 연희동,1**,단독,8m미만,169.47,182.8,202011,18,"137,500",-,-,1999,연희로11사길,-,-,-
15,서울특별시 서대문구 연희동,4**,다가구,8m미만,225.96,149.0,202011,14,"175,000",-,-,2016,연희로11마길,-,-,-
16,서울특별시 서대문구 연희동,9*,단독,8m미만,148.04,199.0,202011,14,"130,000",-,-,1973,증가로,-,-,-
17,서울특별시 서대문구 연희동,3**,단독,8m미만,67.11,271.0,202011,12,"160,000",-,-,1973,성산로18길,-,-,-
18,서울특별시 서대문구 연희동,1**,단독,8m미만,243.63,226.1,202011,7,"160,000",-,-,1980,연희로15길,-,-,-
19,서울특별시 서대문구 연희동,4**,단독,8m미만,107.11,142.0,202011,3,"97,000",-,-,1969,연희로11마길,-,-,-
20,서울특별시 서대문구 연희동,5**,다가구,8m미만,118.9,68.0,202010,16,"59,000",-,-,1995,홍제천로2길,-,-,-
21,서울특별시 서대문구 연희동,1**,단독,8m미만,19.86,33.0,202010,12,"10,000",-,-,1985,홍연8길,-,-,-
22,서울특별시 서대문구 연희동,4**,단독,8m미만,49.8,106.0,202010,12,"78,500",-,-,2019,성산로,-,-,-
23,서울특별시 서대문구 연희동,1**,단독,8m미만,22.62,86.0,202010,12,"20,500",-,-,1985,홍연8길,-,-,-
24,서울특별시 서대문구 연희동,1**,단독,8m미만,69.29,120.0,202010,10,"74,000",-,-,1975,연희로11아길,-,-,-
25,서울특별시 서대문구 연희동,1**,단독,8m미만,140.59,124.3,202010,5,"130,000",-,-,1970,연희로11라길,-,-,-
26,서울특별시 서대문구 연희동,2**,단독,8m미만,303.69,281.0,202009,18,"226,000",-,-,1970,증가로2길,-,-,-
27,서울특별시 서대문구 연희동,1**,단독,8m미만,187.47,136.0,202009,12,"24,000",-,-,1989,홍연8길,-,-,-
28,서울특별시 서대문구 연희동,1**,다가구,8m미만,947.34,322.3,202009,7,"240,000",-,-,2002,증가로2길,-,-,-
29,서울특별시 서대문구 연희동,5**,단독,8m미만,210.57,155.0,202009,4,"80,000",-,-,1988,홍제천로2길,-,-,-
30,서울특별시 서대문구 연희동,1*,다가구,8m미만,245.89,145.0,202008,18,"125,000",-,-,2010,연희로26길,-,-,-
31,서울특별시 서대문구 연희동,1**,단독,8m미만,183.89,162.0,202008,14,"80,000",-,-,1982,연희로31길,-,-,-
32,서울특별시 서대문구 연희동,5**,단독,8m미만,49.58,53.0,202007,27,"51,860",-,-,2000,,-,-,-
33,서울특별시 서대문구 연희동,5**,다가구,8m미만,195.6,86.0,202007,25,"70,845",-,-,1993,홍제천로2나길,-,-,-
