NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,25.53,202312,24,"12,000",2,-,-,2003,연희로 128,-,중개거래,서울 서대문구
2,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202312,18,"11,000",4,-,-,2005,연희로 63,-,직거래,-
3,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,20.4,202311,23,"14,200",3,-,-,2005,연희로 63,-,중개거래,서울 서대문구
4,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202311,20,"9,300",11,-,-,2003,연희로 158,-,중개거래,서울 서대문구
5,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202311,18,"12,400",7,-,-,2005,연희로 63,-,중개거래,서울 서대문구
6,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,64.41,202311,3,"47,500",7,-,-,2007,연희로 82,-,중개거래,서울 서대문구
7,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202311,3,"9,000",8,-,-,2003,연희로 158,-,중개거래,서울 서대문구
8,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,116.81,202310,28,"72,000",11,-,-,2007,연희로 82,-,중개거래,서울 서대문구
9,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,156.24,202310,24,"90,000",12,-,-,2007,연희로 82,-,중개거래,서울 서대문구
10,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,97.65,202310,6,"61,000",10,-,-,2007,연희로 82,-,중개거래,서울 마포구 서울 서대문구
11,서울특별시 서대문구 연희동,142-21,142,21,연희미다스파크,33.79,202310,5,"24,000",3,-,-,2019,연희로 233,-,직거래,-
12,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202309,23,"21,200",5,-,-,2007,연희로 82,-,중개거래,서울 서대문구
13,서울특별시 서대문구 연희동,88-11,88,11,정연지오빌ll,22.23,202309,20,"11,000",3,-,-,2003,연희로 128,-,중개거래,서울 서대문구
14,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202309,6,"9,000",8,-,-,2003,연희로 158,20231103,중개거래,서울 서대문구
15,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202308,22,"9,900",3,-,-,2002,증가로 15-1,-,중개거래,서울 중구
16,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,38.5,202307,18,"12,000",9,-,-,2004,연희로 183,-,중개거래,서울 서대문구
17,서울특별시 서대문구 연희동,78-4,78,4,시아 루비움,17.16,202305,30,"7,500",3,-,-,2004,연희로 183,-,중개거래,서울 서대문구
18,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,132.63,202305,11,"80,000",9,-,-,2007,연희로 82,-,중개거래,서울 서대문구
19,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202305,4,"9,800",7,-,-,2001,연희로 60,-,중개거래,서울 서대문구
20,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,16.83,202305,3,"12,300",3,-,-,2005,연희로 63,-,중개거래,서울 서대문구
21,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202303,16,"9,800",6,-,-,2001,연희로 60,-,중개거래,서울 서대문구
22,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202303,16,"10,000",2,-,-,2002,증가로 33,-,중개거래,서울 서대문구
23,서울특별시 서대문구 연희동,340-27,340,27,현대싱그런,86.17,202303,9,"50,500",5,-,-,2007,성산로 371,-,중개거래,서울 서대문구
24,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202302,8,"9,100",4,-,-,2002,증가로 33,-,중개거래,서울 서대문구
25,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,28.79,202302,6,"21,000",6,-,-,2007,연희로 82,-,중개거래,서울 서대문구
26,서울특별시 서대문구 연희동,194-30,194,30,브라운스톤 연희,132.63,202302,6,"80,000",9,-,-,2007,연희로 82,20230511,중개거래,서울 서대문구
27,서울특별시 서대문구 연희동,218-1,218,1,연희체스트빌,20.4,202302,6,"14,500",9,-,-,2005,연희로 63,-,중개거래,서울 서대문구
28,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,19.24,202302,1,"9,000",2,-,-,2003,연희로 158,-,중개거래,서울 서대문구
29,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202301,20,"9,000",5,-,-,2003,연희로 158,-,중개거래,서울 서대문구
30,서울특별시 서대문구 연희동,121-4,121,4,오벨리스크,20.39,202301,12,"10,300",2,-,-,2002,증가로 33,-,중개거래,서울 서대문구
31,서울특별시 서대문구 연희동,80-7,80,7,파라다이스텔에스비,15.94,202301,9,"9,000",4,-,-,2003,연희로 158,-,중개거래,서울 영등포구
32,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,19.44,202301,3,"9,000",5,-,-,2002,증가로 15-1,-,중개거래,서울 서대문구
33,서울특별시 서대문구 연희동,212-2,212,2,연희소프트빌,16.2,202301,2,"8,500",10,-,-,2001,연희로 60,-,중개거래,서울 서대문구
