Date,ChangeRate
201101,7.20000
201102,7.20000
201103,7.20000
201104,7.20000
201105,7.20000
201106,7.20000
201107,7.24148
201108,7.20000
201109,7.32873
201110,7.20000
201111,7.11111
201112,7.00000
201201,6.91075
201202,7.01724
201203,6.85714
201204,6.94035
201205,6.92970
201206,6.85714
201207,6.85714
201208,6.88139
201209,7.03990
201210,6.89524
201211,6.82123
201212,6.85982
201301,6.71137
201302,6.75000
201303,6.75000
201304,6.75000
201305,6.66667
201306,6.54025
201307,6.47278
201308,6.33962
201309,6.32304
201310,6.25995
201311,6.40000
201312,6.31579
201401,6.22252
201402,6.00000
201403,6.00000
201404,6.00000
201405,6.00000
201406,5.94850
201407,6.00000
201408,6.00000
201409,5.88679
201410,5.85814
201411,5.68439
201412,5.40272
201501,5.41584
201502,5.33333
201503,5.33333
201504,5.26829
201505,5.29623
201506,5.25000
201507,5.17647
201508,5.10105
201509,4.94313
201510,4.80942
201511,4.80000
201512,4.70588
201601,4.54859
201602,4.55586
201603,4.38336
201604,4.41550
201605,4.37647
201606,4.43077
201607,4.41384
201608,4.36364
201609,4.43077
201610,4.26745
201611,4.11272
201612,4.08000
201701,4.13793
201702,4.15385
201703,4.00357
201704,4.00651
201705,4.08914
201706,4.11429
201707,4.10526
201708,4.03413
201709,4.07547
201710,4.00000
201711,4.00000
201712,4.00000
201801,3.95481
201802,3.89397
201803,3.84832
201804,3.87926
201805,3.86855
201806,3.87157
201807,3.88235
201808,3.92285
201809,3.90000
201810,3.83801
201811,3.88571
201812,3.85714
201901,3.84000
201902,3.88235
201903,3.92706
201904,4.06780
201905,4.11579
201906,4.09014
201907,4.09053
201908,4.05771
201909,4.00000
201910,3.88690
201911,3.85714
201912,3.71594
202001,3.83712
202002,3.76223
202003,3.81818
202004,3.88235
202005,3.85714
202006,3.87848
202007,3.85714
202008,3.81316
202009,3.77266
202010,3.84000
202011,3.82873
202012,3.83928
202101,3.95153
202102,4.00000
202103,4.04883
202104,4.09091
202105,4.04211
202106,3.87630
202107,3.86280
202108,3.82219
202109,3.69231
202110,3.74631
202111,3.83781
202112,3.89189
202201,3.96988
202202,4.00000
202203,4.09092
202204,4.11429
202205,4.15385
202206,4.37758
202207,4.40367
202208,4.40367
202209,4.43900
202210,4.50000
202211,4.54969
202212,4.66121
202301,4.80000
202302,4.91069
202303,5.00000
202304,5.12621
202305,5.03111
202306,4.93739
202307,4.87405
202308,4.81249
202309,4.80000
202310,4.76779
202311,4.74074
202312,4.65306
202401,4.64826
202402,4.62255
202403,4.57599
202404,4.60000
202405,4.58400
202406,4.59791
202407,4.64816
202408,4.65672
202409,4.63320
202410,4.58824
