dealDate,deposit,monthlyRent,calcedRent,aptNm,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
20200101,"56,000",0,0,DMC에코자이,2019,, ,72.84,16,389,,,11410,남가좌동, 
20200101,"20,000",55,0,독립문극동(200-0),1998,, ,59.58,18,200,,,11410,현저동, 
20200101,"85,000",0,0,신촌푸르지오,2015,, ,109.09,14,1011,,,11410,북아현동, 
20200101,"33,000",0,0,북한산두산위브,2020,, ,50.4,13,467,,,11410,홍은동, 
20200101,"44,000",0,0,DMC에코자이,2019,, ,59.79,11,389,,,11410,남가좌동, 
20200101,"21,000",0,0,성원,1998,, ,41.5,8,456,,,11410,홍제동, 
20200102,"54,000",0,0,신촌푸르지오,2015,, ,109.09,12,1011,,,11410,북아현동, 
20200102,"4,870",8,0,DMC에코자이,2019,, ,43.32,8,389,,,11410,남가좌동, 
20200102,"39,000",0,0,천연뜨란채,2006,, ,55.82,12,145,,,11410,천연동, 
20200102,"5,000",130,0,DMC파크뷰자이1단지,2015,, ,59.992,20,385,,,11410,남가좌동, 
20200102,"5,000",90,0,대우푸르지오,2002,, ,59.584,7,739,,,11410,연희동, 
20200102,"45,000",0,0,신촌럭키,1999,, ,83.38,12,144,,,11410,대현동, 
20200102,"33,000",0,0,홍제원현대(459-0),2000,, ,59.93,9,459,,,11410,홍제동, 
20200102,"37,000",0,0,대림,1993,, ,84.74,9,700,,,11410,연희동, 
20200102,"75,000",0,0,e편한세상신촌4단지,2018,, ,84.82,9,1013,,,11410,북아현동, 
20200102,"3,412",19,0,DMC에코자이,2019,, ,43.32,2,389,,,11410,남가좌동, 
20200102,"25,000",47,0,독립문극동(200-0),1998,, ,59.58,2,200,,,11410,현저동, 
20200102,"48,000",0,0,래미안루센티아,2020,, ,84.95,19,390,,,11410,남가좌동, 
20200102,"4,000",45,0,디엠씨엘가,2017,, ,17.23,2,387,,,11410,남가좌동, 
20200102,"4,000",35,0,연희궁,1972,, ,42.38,4,196-1,,,11410,연희동, 
20200102,"1,000",30,0,홍은동벽산,1997,, ,84.78,6,455,,,11410,홍은동, 
20200102,"58,000",0,0,독립문극동(200-0),1998,, ,102.45,22,200,,,11410,현저동, 
20200102,"36,000",0,0,두산,1999,, ,59.96,5,1009,,,11410,북아현동, 
20200103,"2,000",80,0,연대JK,2012,, ,22.11,6,518,,,11410,창천동, 
20200103,"25,000",70,0,DMC에코자이,2019,, ,59.442,10,389,,,11410,남가좌동, 
20200103,"13,000",40,0,천연뜨란채,2006,20.02~22.02,신규,30.17,2,145,,,11410,천연동, 
20200103,"35,000",0,0,대림,1993,, ,84.74,5,700,,,11410,연희동, 
20200103,"43,000",0,0,독립문극동(200-0),1998,, ,59.58,13,200,,,11410,현저동, 
20200103,"20,000",0,0,DMC에코자이,2019,, ,84.97,17,389,,,11410,남가좌동, 
20200103,"3,412",19,0,DMC에코자이,2019,, ,43.32,12,389,,,11410,남가좌동, 
20200103,"37,000",0,0,대우푸르지오,2002,, ,59.584,17,739,,,11410,연희동, 
20200103,"61,000",0,0,DMC파크뷰자이1단지,2015,, ,84.971,25,385,,,11410,남가좌동, 
20200103,"15,000",0,0,연대JK,2012,, ,24.09,3,518,,,11410,창천동, 
20200103,"41,000",0,0,DMC이랜드해가든,2007,, ,84.91,15,460,,,11410,북가좌동, 
20200103,"45,000",0,0,인왕산현대,2000,, ,114.72,3,460,,,11410,홍제동, 
20200103,"5,000",130,0,남가좌동현대,1999,, ,114.9,1,376,,,11410,남가좌동, 
20200103,"2,000",97,0,신촌자이엘라,2014,, ,25.21,16,104-36,,,11410,대현동, 
20200103,"60,000",0,0,DMC파크뷰자이2단지,2015,, ,84.99,23,385,,,11410,남가좌동, 
20200103,"25,000",86,0,인왕산현대,2000,, ,114.72,8,460,,,11410,홍제동, 
20200104,"30,000",100,0,e편한세상신촌3단지,2018,, ,59.85,10,1013,,,11410,북아현동, 
20200104,"25,000",60,0,홍제원현대(459-0),2000,, ,84.9,4,459,,,11410,홍제동, 
20200104,"57,000",0,0,e편한세상신촌1단지,2018,, ,59.85,5,1013,,,11410,북아현동, 
20200104,"35,000",0,0,홍제삼성래미안,2001,, ,60,4,461,,,11410,홍제동, 
20200104,"36,000",0,0,두산,1999,, ,59.96,10,1009,,,11410,북아현동, 
20200104,"40,000",0,0,DMC래미안클라시스,2000,, ,84.95,12,377,,,11410,남가좌동, 
20200104,"40,000",0,0,DMC아이파크,2009,, ,59.96,11,458,,,11410,북가좌동, 
20200104,"29,000",0,0,홍제한양,1993,, ,60.06,9,82,,,11410,홍제동, 
20200104,"45,000",0,0,홍제원현대(459-0),2000,, ,84.9,12,459,,,11410,홍제동, 
