dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20110105,"3,000",40,0,2004,, ,20.52,1,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20110105,"8,500",0,0,2006,, ,19.4,2,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110105,"1,000",0,0,2005,, ,16.83,8,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20110106,"6,000",0,0,2006,, ,19.4,4,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110106,"2,000",55,0,2004,, ,19.38,6,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20110107,"5,000",30,0,2003,11.02~12.02,신규,26.32,4,136-7,(136-7),,,11410,서대문구,연희동, 
20110107,"2,000",55,0,2005,, ,19.01,5,103-7,스페이스엠,,,11410,서대문구,연희동, 
20110107,"5,000",30,0,2003,, ,26.03,7,136-7,(136-7),,,11410,서대문구,연희동, 
20110107,"2,000",50,0,2004,, ,19.38,3,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20110108,"2,000",65,0,2006,11.02~13.02,신규,25.69,4,90-1,(90-1),,,11410,서대문구,대신동, 
20110108,"6,500",0,0,2002,, ,22.9,5,92-7,창천오피스텔,,,11410,서대문구,창천동, 
20110108,"12,000",0,0,2006,, ,27.14,11,20-51,신영스카이텔,,,11410,서대문구,창천동, 
20110110,"1,000",55,0,2005,, ,16.83,4,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20110110,"8,000",0,0,2004,, ,19.38,2,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20110110,"9,500",0,0,2003,, ,27.48,2,136-7,(136-7),,,11410,서대문구,연희동, 
20110112,"2,000",40,0,2003,, ,19.24,8,80-7,파라다이스텔에스비,,,11410,서대문구,연희동, 
20110113,"9,000",0,0,2003,, ,25.04,7,136-7,(136-7),,,11410,서대문구,연희동, 
20110115,"8,000",0,0,2004,, ,19.26,2,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
