dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20110107,"5,000",30,0,2003,11.02~12.02,신규,26.32,4,136-7,(136-7),,,11410,서대문구,연희동, 
20110107,"5,000",30,0,2003,, ,26.03,7,136-7,(136-7),,,11410,서대문구,연희동, 
20110108,"2,000",65,0,2006,11.02~13.02,신규,25.69,4,90-1,(90-1),,,11410,서대문구,대신동, 
20110110,"8,000",0,0,2004,, ,19.38,2,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20110110,"1,000",55,0,2005,, ,16.83,4,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20110115,"1,000",55,0,2004,, ,19.95,5,188-3,(188-3),,,11410,서대문구,연희동, 
20110119,"9,000",0,0,2003,, ,26.03,7,136-7,(136-7),,,11410,서대문구,연희동, 
20110125,"3,000",45,0,2005,11.02~13.02,신규,19.01,2,103-7,스페이스엠,,,11410,서대문구,연희동, 
20110128,"2,500",30,0,2002,11.02~12.02,신규,12.95,5,62-48,(62-48),,,11410,서대문구,창천동, 
20110128,"28,000",0,0,2007,, ,115.53,4,340-27,현대싱그런,,,11410,서대문구,연희동, 
20110207,"7,500",0,0,2006,, ,44.52,2,169-3,드리밍 아파트,,,11410,서대문구,연희동, 
20110211,"8,000",10,0,2003,, ,26.03,4,136-7,(136-7),,,11410,서대문구,연희동, 
20110215,"21,500",0,0,2007,, ,115.53,5,340-27,현대싱그런,,,11410,서대문구,연희동, 
20110219,"12,500",0,0,2006,, ,29.26,3,117,충정로대우디오빌,,,11410,서대문구,합동, 
20110221,"3,000",40,0,2004,, ,19.38,2,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20110221,"3,000",30,0,2004,, ,24.84,9,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20110224,"3,000",35,0,2002,11.02~12.02,신규,20.39,5,121-4,오벨리스크,,,11410,서대문구,연희동, 
20110224,"3,000",30,0,2004,, ,19.25,3,78-4,시아 루비움,,,11410,서대문구,연희동, 
20110225,"6,000",27,0,2006,, ,19.4,8,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110226,"5,800",0,0,2004,, ,19.25,4,78-4,시아 루비움,,,11410,서대문구,연희동, 
20110309,"8,000",18,0,2006,, ,22.61,3,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110319,"1,000",45,0,2003,, ,15.94,4,80-7,파라다이스텔에스비,,,11410,서대문구,연희동, 
20110319,"22,000",0,0,2007,, ,115.53,6,340-27,현대싱그런,,,11410,서대문구,연희동, 
20110321,"6,000",0,0,2004,, ,24.87,10,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20110322,"8,000",0,0,2004,, ,22.11,7,490,홍익사랑,,,11410,서대문구,창천동, 
20110326,"1,000",55,0,2004,, ,19.04,3,188-3,(188-3),,,11410,서대문구,연희동, 
20110327,"5,000",5,0,2003,, ,24.6,3,413-126,(413-126),,,11410,서대문구,연희동, 
20110328,"8,000",0,0,2002,, ,21.06,4,122-3,정연 지오빌,,,11410,서대문구,연희동, 
20110328,"5,500",15,0,2003,, ,27.94,4,413-126,(413-126),,,11410,서대문구,연희동, 
20110329,500,45,0,2002,, ,13.33,2,92-7,창천오피스텔,,,11410,서대문구,창천동, 
20110407,"2,000",65,0,2006,, ,25.69,6,90-1,(90-1),,,11410,서대문구,대신동, 
20110409,"3,000",30,0,2001,, ,16.2,10,212-2,연희소프트빌,,,11410,서대문구,연희동, 
20110409,"2,000",50,0,2002,, ,168.5,2,62-48,(62-48),,,11410,서대문구,창천동, 
20110409,"1,000",50,0,2002,, ,18.5,4,62-48,(62-48),,,11410,서대문구,창천동, 
20110416,"2,000",40,0,2002,, ,19.44,2,122-3,정연 지오빌,,,11410,서대문구,연희동, 
20110419,"1,000",50,0,2002,, ,20.39,2,121-4,오벨리스크,,,11410,서대문구,연희동, 
20110420,"8,500",0,0,2003,, ,26.03,2,136-7,(136-7),,,11410,서대문구,연희동, 
20110421,500,55,0,2002,, ,21.06,5,122-3,정연 지오빌,,,11410,서대문구,연희동, 
20110422,"9,700",0,0,2006,, ,22.61,2,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
