dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,houseType,jibun,mhouseNm,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
20200101,"8,000",0,0,2014,, ,42.75,1,다세대,89-24,연희애가,,,11410,연희동, 
20200101,"22,000",0,0,2019,, ,29.92,3,다세대,313-19,신안휴먼타운,,,11410,북가좌동, 
20200102,"30,000",0,0,1984,, ,147.17,2,연립,8-1,동보빌라,,,11410,충정로3가, 
20200102,"9,000",0,0,1983,, ,34.01,1,다세대,723-5,(723-5),,,11410,연희동, 
20200102,"17,000",0,0,2008,, ,74.04,1,다세대,3-87,화인빌리지2차,,,11410,북가좌동, 
20200102,"13,000",0,0,1987,, ,45.21,2,다세대,328-8,(328-8),,,11410,남가좌동, 
20200102,"12,000",0,0,2012,, ,28.65,2,다세대,397-29,골드클래스,,,11410,홍은동, 
20200102,"16,500",0,0,1995,, ,40.1,1,다세대,121-11,(121-11),,,11410,연희동, 
20200102,"22,000",0,0,2008,, ,55.32,2,다세대,613-5,보경빌라,,,11410,연희동, 
20200102,"27,000",0,0,2002,, ,52.74,2,다세대,81-29,아미린빌스,,,11410,연희동, 
20200102,"22,000",0,0,2008,, ,55.32,2,다세대,613-5,보경빌라,,,11410,연희동, 
20200103,"6,000",0,0,2001,, ,32.6,-1,다세대,287-3,인준빌,,,11410,연희동, 
20200103,"1,000",72,0,2016,, ,25.92,5,다세대,410-14,엘림하우스,,,11410,홍은동, 
20200103,"25,000",0,0,2017,, ,57.03,3,다세대,289-28,클라인하우제,,,11410,북가좌동, 
20200103,"18,000",0,0,2007,, ,43.06,4,다세대,383-13,영광빌라,,,11410,북가좌동, 
20200103,"24,000",0,0,2002,, ,57.6,1,연립,340-29,샬롬아트빌,,,11410,연희동, 
20200103,"22,500",0,0,2019,, ,29.94,5,다세대,313-19,신안휴먼타운,,,11410,북가좌동, 
20200103,"22,500",0,0,2019,, ,29.94,5,다세대,313-19,신안휴먼타운,,,11410,북가좌동, 
20200104,"1,000",50,0,1993,, ,45.3,1,다세대,170-166,(170-166),,,11410,연희동, 
20200104,"2,000",50,0,2013,, ,12.17,4,다세대,90-27,금반석시티빌7차,,,11410,창천동, 
20200104,0,36,0,2012,, ,17.1,2,다세대,328-14,다인하우스(328-14),,,11410,북가좌동, 
20200104,"2,000",50,0,2001,, ,20.34,2,다세대,237-7,제니스빌,,,11410,연희동, 
20200104,"20,500",0,0,2002,, ,58.05,1,다세대,80-142,한아름빌라,,,11410,북가좌동, 
20200104,"15,000",0,0,2003,, ,24,4,다세대,350-13,(350-13),,,11410,연희동, 
20200104,"15,000",10,0,2011,, ,29.19,3,다세대,120-113,(120-113),,,11410,천연동, 
20200104,"10,000",0,0,1994,20.01~22.01,신규,42.8,2,다세대,363-1,연세빌라,,,11410,남가좌동, 
20200104,"20,000",0,0,2003,, ,54.03,4,다세대,350-13,(350-13),,,11410,연희동, 
20200105,"5,000",0,0,2013,, ,20.52,4,다세대,327-9,(327-9),,,11410,남가좌동, 
20200105,"29,000",0,0,2017,, ,69.25,4,다세대,278-16,(278-16),,,11410,북가좌동, 
20200105,"22,000",0,0,2014,, ,52.39,3,다세대,311-8,삼성캐스빌(311-8),,,11410,북가좌동, 
20200105,"25,000",0,0,2019,, ,48.1,3,다세대,74-89,더플레이스,,,11410,북가좌동, 
20200105,500,50,0,2016,, ,13.33,3,다세대,409-50,(409-50),,,11410,홍은동, 
20200106,"17,800",0,0,2018,, ,29.66,2,다세대,329-14,빌리브케슬,,,11410,북가좌동, 
20200106,"25,000",0,0,2013,, ,45.45,2,다세대,330-1,태양아트빌,,,11410,북가좌동, 
20200106,"10,000",5,0,1987,, ,41.58,1,연립,376-26,동원,,,11410,홍은동, 
20200106,"2,000",60,0,2003,, ,28.5,4,다세대,90-34,스카이빌,,,11410,창천동, 
20200106,"15,000",0,0,1979,, ,166.61,1,연립,7-1,충정맨션,,,11410,충정로3가, 
20200106,"1,000",50,0,1992,, ,30.2,1,다세대,312-6,(312-6),,,11410,홍제동, 
20200106,"20,000",0,0,2013,, ,56.04,4,다세대,296-26,동진홈타운(296-26),,,11410,북가좌동, 
20200106,"1,500",40,0,2003,, ,65.82,4,다세대,124,화림빌딩,,,11410,대신동, 
20200106,"19,000",0,0,2015,, ,25.8,2,다세대,724-29,금창빌라,,,11410,연희동, 
20200106,"19,500",0,0,2011,, ,73.49,5,다세대,335-2,청마세르빌,,,11410,남가좌동, 
20200106,"12,600",0,0,2011,, ,29.37,3,다세대,120-113,(120-113),,,11410,천연동, 
20200106,"10,000",5,0,1987,, ,41.58,1,연립,376-26,동원,,,11410,홍은동, 
20200106,"13,000",0,0,2017,, ,18.82,5,다세대,340-33,동하아트빌(340-33),,,11410,북가좌동, 
20200107,"3,000",40,0,2011,, ,11.6,2,다세대,90-46,연세힐하우스,,,11410,창천동, 
20200107,"10,000",30,0,2018,, ,38.37,3,다세대,27-2,서대문은옥재,,,11410,냉천동, 
20200107,"10,000",100,0,2015,, ,51.41,3,다세대,351,골든하우스,,,11410,창천동, 
20200107,"22,500",0,0,2018,, ,28.59,2,다세대,260-17,(260-17),,,11410,홍제동, 
20200107,"13,500",0,0,1994,, ,50.52,1,다세대,312-21,대원,,,11410,홍제동, 
20200107,"1,000",45,0,2004,, ,72.37,2,다세대,194-60,SK빌,,,11410,연희동, 
20200107,"13,000",0,0,2002,, ,51.34,2,다세대,283-11,(283-11),,,11410,홍제동, 
20200107,"27,000",0,0,2016,, ,54.8,4,다세대,322-5,네오스빌,,,11410,북가좌동, 
20200107,"12,000",0,0,2015,, ,17.98,3,다세대,319,라임빌,,,11410,창천동, 
20200107,"1,839",15,0,2014,, ,54.53,4,다세대,195-16,이도빌라2차,,,11410,홍은동, 
20200108,"22,800",0,0,2019,, ,29.98,3,다세대,313-19,신안휴먼타운,,,11410,북가좌동, 
20200108,"1,500",35,0,2001,, ,83.56,2,연립,290-1,연세아크로폴리스,,,11410,연희동, 
20200108,"5,000",80,0,2019,, ,46.2,6,다세대,142-21,연희미다스파크,,,11410,연희동, 
20200108,"5,000",30,0,2004,, ,96.48,2,다세대,200,(200-0),,,11410,창천동, 
20200108,300,30,0,2000,, ,75.17,-1,다세대,42-13,(42-13),,,11410,연희동, 
20200108,"2,000",60,0,2004,20.02~22.02,신규,37.37,5,다세대,218-23,이스턴빌,,,11410,연희동, 
20200108,"26,000",0,0,2019,, ,44.93,3,다세대,74-89,더플레이스,,,11410,북가좌동, 
20200108,"14,000",0,0,2014,, ,28.89,4,다세대,274-55,인욱팰리스,,,11410,홍은동, 
20200108,"22,000",0,0,2015,, ,31.95,3,다세대,100-5,금반석시티빌39차,,,11410,창천동, 
20200108,500,53,0,2012,, ,16.76,3,다세대,324-13,라온빌,,,11410,남가좌동, 
20200108,"13,000",0,0,2002,, ,58.15,3,다세대,283-11,(283-11),,,11410,홍제동, 
20200108,"15,000",0,0,2001,, ,47.84,2,다세대,316-15,충우(316-15),,,11410,북가좌동, 
20200109,"34,000",0,0,2019,, ,58.18,5,다세대,205-1,하우스205,,,11410,홍은동, 
20200109,"6,000",20,0,2012,, ,15.6,3,다세대,340-17,(340-17),,,11410,연희동, 
20200109,"4,000",35,0,2011,, ,23.94,2,다세대,390,(390-0),,,11410,창천동, 
20200109,"1,000",63,0,2018,, ,15.19,4,다세대,100-127,(100-127),,,11410,창천동, 
20200109,"5,000",40,0,1985,, ,87.57,1,연립,322-1,코오롱빌라,,,11410,홍은동, 
20200109,"15,500",0,0,2018,, ,15.71,10,다세대,37-24,이대프리젠#4,,,11410,대현동, 
20200109,"24,000",0,0,2016,, ,58.845,5,다세대,3-39,거북하우스,,,11410,남가좌동, 
20200109,"34,000",0,0,2019,, ,58.18,5,다세대,205-1,하우스205,,,11410,홍은동, 
20200109,"27,000",0,0,2018,, ,53.8,2,다세대,715-6,연희에이스,,,11410,연희동, 
20200110,"10,000",0,0,1994,, ,53.76,1,다세대,195-5,성진빌라,,,11410,홍은동, 
20200110,"1,000",50,0,1996,, ,28.2,3,다세대,140-1,파크하우스,,,11410,대신동, 
20200110,"1,000",65,0,2011,, ,13.38,4,다세대,370,아트빌리지,,,11410,창천동, 
20200110,"3,000",60,0,2003,, ,41.22,3,다세대,383-11,프렌치빌라,,,11410,북가좌동, 
20200110,"1,000",60,0,2013,, ,20.67,3,다세대,37-4,서호빌,,,11410,충정로2가, 
20200110,"6,000",25,0,2003,, ,23.18,4,다세대,100-76,풀하우스,,,11410,창천동, 
20200110,"22,000",0,0,2019,, ,29.17,2,다세대,205-1,하우스205,,,11410,홍은동, 
20200110,"22,000",0,0,2019,, ,29.17,2,다세대,205-1,하우스205,,,11410,홍은동, 
20200111,"11,000",0,0,2015,, ,12.15,5,다세대,724-29,금창빌라,,,11410,연희동, 
20200111,"17,500",0,0,2014,, ,27.89,4,다세대,346-8,해피리움,,,11410,북가좌동, 
20200111,"1,000",60,0,2016,, ,29.77,4,다세대,344-149,(344-149),,,11410,연희동, 
