dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,houseType,preDeposit,preMonthlyRent,sggCd,totalFloorAr,umdNm,useRRRight
20200101,"17,000",0,0,1973,, ,단독,,,11410,82.5,연희동, 
20200101,"2,000",41,0,2010,, ,단독,,,11410,18,연희동, 
20200101,500,45,0,2016,, ,단독,,,11410,20,남가좌동, 
20200102,"25,000",0,0,1991,, ,다가구,,,11410,116.54,북아현동, 
20200102,"7,000",0,0,2007,, ,단독,,,11410,17,창천동, 
20200102,500,44,0,2001,, ,다가구,,,11410,15,홍은동, 
20200102,"8,000",0,0,1993,, ,다가구,,,11410,34,북가좌동, 
20200102,"3,000",20,0,1992,, ,다가구,,,11410,29.69,홍은동, 
20200102,"2,000",50,0,2010,, ,단독,,,11410,21,창천동, 
20200102,"12,000",0,0,1992,, ,다가구,,,11410,46.54,북아현동, 
20200102,300,40,0,1991,, ,단독,,,11410,18.25,연희동, 
20200102,500,30,0,1991,20.01~22.01,신규,다가구,,,11410,31.65,홍은동, 
20200102,"22,000",0,0,1964,, ,단독,,,11410,69.4,옥천동, 
20200102,"1,000",60,0,1990,, ,단독,,,11410,36,홍은동, 
20200102,500,40,0,1976,, ,단독,,,11410,15,미근동, 
20200102,"1,000",60,0,1978,, ,단독,,,11410,73.72,홍은동, 
20200102,"22,000",0,0,1964,, ,단독,,,11410,69.4,옥천동, 
20200102,300,37,0,1992,, ,단독,,,11410,23,남가좌동, 
20200102,"10,900",0,0,,, ,다가구,,,11410,42.9,북가좌동, 
20200102,"8,000",85,0,2003,, ,다가구,,,11410,66.22,연희동, 
20200102,"12,000",0,0,2016,, ,단독,,,11410,33,홍은동, 
20200102,"5,000",20,0,,, ,다가구,,,11410,15,연희동, 
20200102,"5,000",0,0,2011,, ,단독,,,11410,14,남가좌동, 
20200102,"10,000",15,0,2012,, ,다가구,,,11410,36.25,북가좌동, 
20200102,"13,000",0,0,2000,, ,다가구,,,11410,29.75,연희동, 
20200102,"7,000",0,0,1991,, ,단독,,,11410,19.8,연희동, 
20200102,"25,000",0,0,1991,, ,다가구,,,11410,65.33,창천동, 
20200102,"9,000",0,0,1991,, ,다가구,,,11410,51.12,북아현동, 
20200103,"1,000",50,0,1993,, ,다가구,,,11410,49.4,북아현동, 
20200103,500,40,0,1994,20.01~21.01,신규,다가구,,,11410,15,연희동, 
20200103,200,15,0,1977,, ,단독,,,11410,25,홍은동, 
20200103,"5,000",20,0,1991,, ,다가구,,,11410,40,홍제동, 
20200103,"7,500",0,0,2010,, ,단독,,,11410,14,남가좌동, 
20200103,"7,000",0,0,1997,, ,다가구,,,11410,20,연희동, 
20200103,"11,500",0,0,1995,, ,단독,,,11410,39.55,홍제동, 
20200103,"6,000",0,0,1990,, ,단독,,,11410,42.72,홍제동, 
20200103,"1,000",40,0,1996,, ,단독,,,11410,15,창천동, 
20200103,500,40,0,1995,, ,다가구,,,11410,22.4,연희동, 
20200103,"5,000",0,0,1995,, ,다가구,,,11410,30,연희동, 
20200103,"1,000",15,0,1992,, ,다가구,,,11410,13.2,북아현동, 
20200103,"10,000",30,0,2017,, ,다가구,,,11410,17.3,연희동, 
20200104,"19,000",0,0,1989,, ,다가구,,,11410,82.23,북가좌동, 
20200104,500,48,0,1995,, ,단독,,,11410,19.8,연희동, 
20200104,"7,000",0,0,1990,, ,다가구,,,11410,40.24,북아현동, 
20200104,"6,500",0,0,1993,, ,다가구,,,11410,41.65,홍제동, 
20200104,"1,000",45,0,1989,, ,단독,,,11410,15,창천동, 
20200104,500,50,0,1992,, ,다가구,,,11410,18,창천동, 
20200104,"12,500",0,0,2002,, ,단독,,,11410,21,창천동, 
20200104,500,46,0,1996,, ,다가구,,,11410,16,대현동, 
20200104,"2,500",35,0,1981,, ,다가구,,,11410,18,창천동, 
20200104,"8,000",0,0,2007,, ,다가구,,,11410,40.56,연희동, 
20200104,"1,000",40,0,1992,, ,다가구,,,11410,33,홍제동, 
20200104,"8,000",0,0,2007,, ,다가구,,,11410,40.56,연희동, 
20200104,500,46,0,2017,, ,다가구,,,11410,17,홍제동, 
20200104,"3,500",31,0,2003,, ,다가구,,,11410,33,연희동, 
20200104,"3,000",0,0,1997,, ,다가구,,,11410,11.84,홍제동, 
20200104,"2,000",43,0,2001,, ,다가구,,,11410,33,창천동, 
20200104,500,47,0,1996,, ,다가구,,,11410,18,신촌동, 
20200104,500,50,0,1991,, ,다가구,,,11410,20,연희동, 
20200104,"1,000",50,0,1999,, ,다가구,,,11410,28,연희동, 
20200104,"4,000",0,0,1990,, ,다가구,,,11410,22.2,북아현동, 
20200104,"1,000",100,0,1991,, ,다가구,,,11410,30,창천동, 
20200104,"3,500",31,0,2003,, ,다가구,,,11410,33,연희동, 
20200104,"15,000",0,0,2017,, ,다가구,,,11410,34.4,홍은동, 
20200104,"9,000",0,0,2012,, ,다가구,,,11410,16,대신동, 
20200104,"1,500",55,0,1996,, ,다가구,,,11410,21.49,창천동, 
20200104,"1,000",50,0,1999,, ,다가구,,,11410,28,연희동, 
20200105,"1,000",60,0,1991,, ,다가구,,,11410,62.55,북가좌동, 
20200105,"8,000",0,0,2017,, ,단독,,,11410,15,홍은동, 
20200105,"6,500",0,0,2014,, ,단독,,,11410,16,남가좌동, 
20200105,300,35,0,1996,, ,다가구,,,11410,16,연희동, 
20200105,"5,500",0,0,2008,20.01~21.07,신규,다가구,,,11410,15.16,연희동, 
20200105,500,40,0,1997,, ,다가구,,,11410,29.7,연희동, 
20200105,500,30,0,1991,, ,다가구,,,11410,41.61,남가좌동, 
20200106,"4,000",0,0,1992,, ,단독,,,11410,24.48,북아현동, 
20200106,"4,000",0,0,1992,, ,다가구,,,11410,27.12,북아현동, 
20200106,"9,000",10,0,2018,, ,단독,,,11410,18.28,홍은동, 
20200106,"7,000",0,0,1989,, ,다가구,,,11410,15,창천동, 
20200106,"10,000",0,0,1991,, ,다가구,,,11410,52.29,북아현동, 
20200106,200,45,0,1996,, ,다가구,,,11410,15,연희동, 
20200106,"17,500",0,0,1997,, ,다가구,,,11410,53,연희동, 
