buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
2006,11.02~13.02,신규,8,1,2011,"2,000",25.69,4,90-1,65,(90-1),,,11410,서대문구,대신동, 
2003,11.02~12.02,신규,7,1,2011,"5,000",26.32,4,136-7,30,(136-7),,,11410,서대문구,연희동, 
2004,, ,15,1,2011,"1,000",19.95,5,188-3,55,(188-3),,,11410,서대문구,연희동, 
2007,, ,28,1,2011,"28,000",115.53,4,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2004,, ,10,1,2011,"8,000",19.38,2,97-64,0,경선파인 오피스텔,,,11410,서대문구,창천동, 
2005,, ,10,1,2011,"1,000",16.83,4,218-1,55,연희체스트빌,,,11410,서대문구,연희동, 
2003,, ,19,1,2011,"9,000",26.03,7,136-7,0,(136-7),,,11410,서대문구,연희동, 
2003,, ,7,1,2011,"5,000",26.03,7,136-7,30,(136-7),,,11410,서대문구,연희동, 
2005,11.02~13.02,신규,25,1,2011,"3,000",19.01,2,103-7,45,스페이스엠,,,11410,서대문구,연희동, 
2002,11.02~12.02,신규,28,1,2011,"2,500",12.95,5,62-48,30,(62-48),,,11410,서대문구,창천동, 
2002,11.02~12.02,신규,24,2,2011,"3,000",20.39,5,121-4,35,오벨리스크,,,11410,서대문구,연희동, 
2004,, ,21,2,2011,"3,000",19.38,2,97-64,40,경선파인 오피스텔,,,11410,서대문구,창천동, 
2006,, ,19,2,2011,"12,500",29.26,3,117,0,충정로대우디오빌,,,11410,서대문구,합동, 
2004,, ,24,2,2011,"3,000",19.25,3,78-4,30,시아 루비움,,,11410,서대문구,연희동, 
2004,, ,26,2,2011,"5,800",19.25,4,78-4,0,시아 루비움,,,11410,서대문구,연희동, 
2007,, ,15,2,2011,"21,500",115.53,5,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2006,, ,7,2,2011,"7,500",44.52,2,169-3,0,드리밍 아파트,,,11410,서대문구,연희동, 
2003,, ,11,2,2011,"8,000",26.03,4,136-7,10,(136-7),,,11410,서대문구,연희동, 
2006,, ,25,2,2011,"6,000",19.4,8,190,27,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,21,2,2011,"3,000",24.84,9,343-1,30,선정오피스텔,,,11410,서대문구,북가좌동, 
2003,, ,27,3,2011,"5,000",24.6,3,413-126,5,(413-126),,,11410,서대문구,연희동, 
2003,, ,19,3,2011,"1,000",15.94,4,80-7,45,파라다이스텔에스비,,,11410,서대문구,연희동, 
2007,, ,19,3,2011,"22,000",115.53,6,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2002,, ,29,3,2011,500,13.33,2,92-7,45,창천오피스텔,,,11410,서대문구,창천동, 
2003,, ,28,3,2011,"5,500",27.94,4,413-126,15,(413-126),,,11410,서대문구,연희동, 
2004,, ,21,3,2011,"6,000",24.87,10,343-1,0,선정오피스텔,,,11410,서대문구,북가좌동, 
2004,, ,22,3,2011,"8,000",22.11,7,490,0,홍익사랑,,,11410,서대문구,창천동, 
2004,, ,26,3,2011,"1,000",19.04,3,188-3,55,(188-3),,,11410,서대문구,연희동, 
2006,, ,9,3,2011,"8,000",22.61,3,190,18,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2002,, ,28,3,2011,"8,000",21.06,4,122-3,0,정연 지오빌,,,11410,서대문구,연희동, 
2001,, ,9,4,2011,"3,000",16.2,10,212-2,30,연희소프트빌,,,11410,서대문구,연희동, 
2002,, ,19,4,2011,"1,000",20.39,2,121-4,50,오벨리스크,,,11410,서대문구,연희동, 
2002,, ,21,4,2011,500,21.06,5,122-3,55,정연 지오빌,,,11410,서대문구,연희동, 
2006,, ,22,4,2011,"9,700",22.61,2,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2002,, ,9,4,2011,"2,000",168.5,2,62-48,50,(62-48),,,11410,서대문구,창천동, 
2003,, ,20,4,2011,"8,500",26.03,2,136-7,0,(136-7),,,11410,서대문구,연희동, 
2002,, ,16,4,2011,"2,000",19.44,2,122-3,40,정연 지오빌,,,11410,서대문구,연희동, 
2002,, ,9,4,2011,"1,000",18.5,4,62-48,50,(62-48),,,11410,서대문구,창천동, 
2006,, ,22,4,2011,"7,500",19.4,7,190,15,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2006,, ,7,4,2011,"2,000",25.69,6,90-1,65,(90-1),,,11410,서대문구,대신동, 
2003,, ,14,5,2011,"1,000",15.84,2,446-270,30,(446-270),,,11410,서대문구,연희동, 
2006,, ,6,5,2011,"4,000",25.69,5,90-1,45,(90-1),,,11410,서대문구,대신동, 
2005,, ,17,5,2011,"7,500",19.01,5,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2006,, ,25,5,2011,"9,000",19.4,9,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,19,5,2011,"7,500",22.54,3,103-6,0,라이온스톤,,,11410,서대문구,연희동, 
2004,11.06~12.06,신규,25,5,2011,"2,000",24.84,8,343-1,38,선정오피스텔,,,11410,서대문구,북가좌동, 
2004,, ,23,5,2011,"7,900",38.28,6,78-4,0,시아 루비움,,,11410,서대문구,연희동, 
2009,, ,3,5,2011,"12,000",25.35,17,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2007,, ,2,5,2011,"5,000",116.97,3,340-27,120,현대싱그런,,,11410,서대문구,연희동, 
2005,, ,21,5,2011,"1,000",16.83,3,218-1,60,연희체스트빌,,,11410,서대문구,연희동, 
2006,, ,20,6,2011,"5,000",29.65,4,90-1,45,(90-1),,,11410,서대문구,대신동, 
2002,, ,27,6,2011,"1,000",20.39,5,121-4,48,오벨리스크,,,11410,서대문구,연희동, 
