aptNm,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
충정리시온,2004,, ,9,1,2020,"35,000",44.88,15,465,0,,,11410,충정로3가, 
북한산두산위브,2020,, ,7,1,2020,"2,000",59.84,11,467,100,,,11410,홍은동, 
DMC파크뷰자이1단지,2015,, ,30,1,2020,"43,000",84.971,24,385,0,,,11410,남가좌동, 
DMC파크뷰자이3단지,2015,, ,4,1,2020,"10,000",59.981,4,385,120,,,11410,남가좌동, 
신촌푸르지오,2015,, ,13,1,2020,"51,450",53.7527,3,1011,0,,,11410,북아현동, 
연희자이엘라,2014,, ,30,1,2020,"1,000",13.642,11,745,63,,,11410,연희동, 
디엠씨엘가,2017,, ,31,1,2020,"1,000",13.03,12,387,57,,,11410,남가좌동, 
충정리시온,2004,, ,20,1,2020,"34,500",44.88,14,465,0,,,11410,충정로3가, 
DMC한양,1987,, ,12,1,2020,"45,000",116.76,13,431,0,,,11410,북가좌동, 
북한산더샵,2017,, ,11,1,2020,"54,000",84.956,13,464,0,,,11410,홍은동, 
남가좌동현대,1999,, ,19,1,2020,"33,000",59.4,7,376,0,,,11410,남가좌동, 
청구1차,1994,, ,14,1,2020,"40,000",84.78,13,453,0,,,11410,홍제동, 
돈의문센트레빌,2011,, ,18,1,2020,"20,000",59.98,9,261,90,,,11410,냉천동, 
북한산두산위브,2020,, ,16,1,2020,"40,000",84.98,4,467,0,,,11410,홍은동, 
홍제삼성래미안,2001,, ,5,1,2020,"20,000",84.33,6,461,60,,,11410,홍제동, 
연희자이엘라,2014,, ,16,1,2020,"1,000",13.642,7,745,65,,,11410,연희동, 
홍제한양,1993,, ,13,1,2020,"32,000",60.06,11,82,0,,,11410,홍제동, 
북한산두산위브,2020,, ,18,1,2020,"20,000",59.42,10,467,55,,,11410,홍은동, 
북한산더샵,2017,, ,15,1,2020,"46,000",59.899,3,464,0,,,11410,홍은동, 
천연뜨란채,2006,, ,14,1,2020,"3,000",55.82,1,145,110,,,11410,천연동, 
DMC파크뷰자이1단지,2015,, ,30,1,2020,"25,000",84.971,24,385,0,,,11410,남가좌동, 
홍제현대,1992,, ,18,1,2020,"39,000",83.05,5,331,0,,,11410,홍제동, 
연희파크푸르지오,2018,, ,18,1,2020,"45,000",59.9835,8,747,0,,,11410,연희동, 
연희자이엘라,2014,, ,29,1,2020,"1,000",13.642,3,745,65,,,11410,연희동, 
DMC파크뷰자이1단지,2015,, ,23,1,2020,"55,000",84.971,10,385,0,,,11410,남가좌동, 
신촌럭키,1999,, ,30,1,2020,"2,000",59.7,12,144,120,,,11410,대현동, 
신촌럭키,1999,, ,16,1,2020,"10,000",59.7,6,144,90,,,11410,대현동, 
청구1차,1994,, ,8,1,2020,"40,000",84.78,4,453,0,,,11410,홍제동, 
대우푸르지오,2002,, ,18,1,2020,"37,000",59.79,11,739,0,,,11410,연희동, 
DMC파크뷰자이5단지,2015,, ,19,1,2020,"47,000",59.981,2,385,0,,,11410,남가좌동, 
DMC센트레빌,2009,, ,18,1,2020,"41,000",59.95,7,381,0,,,11410,남가좌동, 
북한산두산위브,2020,, ,17,1,2020,"35,000",59.64,4,467,0,,,11410,홍은동, 
신촌럭키,1999,, ,6,1,2020,"65,000",121.6,9,144,0,,,11410,대현동, 
북가좌삼호,1996,, ,30,1,2020,"40,000",84.57,13,449,0,,,11410,북가좌동, 
독립문극동(200-0),1998,, ,2,1,2020,"25,000",59.58,2,200,47,,,11410,현저동, 
월드컵현대,1998,, ,17,1,2020,"33,000",59.76,14,371-1,0,,,11410,북가좌동, 
연희궁,1972,, ,31,1,2020,"9,000",42.38,2,196-1,0,,,11410,연희동, 
문화촌현대,2002,, ,6,1,2020,"40,000",84.99,12,463,0,,,11410,홍제동, 
남양,1999,, ,20,1,2020,"26,500",59.94,1,457,0,,,11410,홍제동, 
돈의문센트레빌,2011,, ,18,1,2020,"55,000",59.98,5,261,0,,,11410,냉천동, 
홍제한양,1993,, ,18,1,2020,"31,000",60.06,6,82,0,,,11410,홍제동, 
신촌럭키,1999,, ,10,1,2020,"35,000",59.7,4,144,0,,,11410,대현동, 
홍제한양,1993,, ,30,1,2020,"31,000",60.06,2,82,0,,,11410,홍제동, 
돈의문센트레빌,2011,, ,30,1,2020,"50,000",59.98,10,261,0,,,11410,냉천동, 
독립문극동(200-0),1998,, ,29,1,2020,"42,000",59.58,3,200,0,,,11410,현저동, 
남가좌동현대,1999,, ,29,1,2020,"31,000",59.4,13,376,0,,,11410,남가좌동, 
두산,1997,, ,17,1,2020,"30,000",59.61,2,456,0,,,11410,홍은동, 
홍제삼성래미안,2001,, ,4,1,2020,"35,000",60,4,461,0,,,11410,홍제동, 
북한산두산위브,2020,, ,16,1,2020,"42,000",84.98,6,467,0,,,11410,홍은동, 
