No,분류,분류,분류,2011년 1월,2011년 2월,2011년 3월,2011년 4월,2011년 5월,2011년 6월,2011년 7월,2011년 8월,2011년 9월,2011년 10월,2011년 11월,2011년 12월,2012년 1월,2012년 2월,2012년 3월,2012년 4월,2012년 5월,2012년 6월,2012년 7월,2012년 8월,2012년 9월,2012년 10월,2012년 11월,2012년 12월,2013년 1월,2013년 2월,2013년 3월,2013년 4월,2013년 5월,2013년 6월,2013년 7월,2013년 8월,2013년 9월,2013년 10월,2013년 11월,2013년 12월,2014년 1월,2014년 2월,2014년 3월,2014년 4월,2014년 5월,2014년 6월,2014년 7월,2014년 8월,2014년 9월,2014년 10월,2014년 11월,2014년 12월,2015년 1월,2015년 2월,2015년 3월,2015년 4월,2015년 5월,2015년 6월,2015년 7월,2015년 8월,2015년 9월,2015년 10월,2015년 11월,2015년 12월,2016년 1월,2016년 2월,2016년 3월,2016년 4월,2016년 5월,2016년 6월,2016년 7월,2016년 8월,2016년 9월,2016년 10월,2016년 11월,2016년 12월,2017년 1월,2017년 2월,2017년 3월,2017년 4월,2017년 5월,2017년 6월,2017년 7월,2017년 8월,2017년 9월,2017년 10월,2017년 11월,2017년 12월,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월
No,분류,분류,분류,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율,전월세 전환율
1,전국,전국,전국,8.40000,8.40000,8.40000,8.40000,8.40000,8.40000,8.30134,8.21918,8.10628,8.00000,8.00000,8.00000,8.00000,7.89909,7.84314,7.76747,7.72265,7.72266,7.71429,7.71429,7.68000,7.64168,7.60326,7.50000,7.46332,7.38462,7.30435,7.23812,7.20000,7.20000,7.15077,7.05882,7.00000,6.92308,6.85714,6.77419,6.70034,6.54545,6.51429,6.46154,6.42848,6.42080,6.40000,6.40000,6.35294,6.29581,6.19355,6.02613,6.00000,6.00000,5.97924,5.81936,5.74857,5.68421,5.61035,5.56800,5.47761,5.37456,5.29412,5.18926,5.14286,5.01896,4.98641,4.94529,4.94118,4.93898,4.92199,4.90806,4.84716,4.80000,4.80000,4.71429,4.67265,4.63636,4.62297,4.61550,4.63156,4.66286,4.66667,4.70588,4.69565,4.68293,4.68293,4.67368,4.66667,4.66426,4.66667,4.69565,4.71429,4.71444,4.72736,4.74576,4.74156,4.72127,4.71272,4.69565,4.66667,4.65455,4.66667,4.70588,4.72727,4.74545,4.76003,4.78762,4.74419,4.70702,4.66667,4.61538,4.59574,4.56000,4.57003,4.55978,4.57143,4.57143,4.57182,4.57143,4.55051,4.50000,4.49878,4.47273,4.47132,4.50000,4.50565,4.51765,4.52571,4.52174,4.50000,4.50000,4.45714,4.47205,4.47306,4.48671,4.50000,4.56000,4.59424,4.61538,4.65517,4.69091,4.71429,4.74574,4.79216,4.80038,4.90435,4.98270,5.07588,5.20579,5.33333,5.40000,5.42857,5.43396,5.42913,5.40000,5.33795,5.32226,5.28000,5.25000,5.21739,5.21236,5.20607,5.21739,5.21739,5.23311,5.22743,5.21739,5.20231,5.20571
2,수도권,수도권,수도권,8.14186,8.14186,8.14186,8.14186,8.14186,8.14186,8.02036,8.00000,8.00000,7.99839,7.89416,7.80000,7.74194,7.68000,7.63636,7.61951,7.57179,7.54919,7.54839,7.54481,7.54604,7.50000,7.50000,7.40412,7.33920,7.20422,7.20000,7.14930,7.06849,7.04348,7.00000,6.91577,6.85714,6.77268,6.70548,6.64309,6.54545,6.35294,6.26087,6.19740,6.15098,6.12000,6.09843,6.10169,6.03741,6.00000,6.00000,5.97100,5.80645,5.68421,5.60000,5.53846,5.46890,5.40197,5.33333,5.28000,5.18919,5.09091,5.00000,4.88889,4.80000,4.75405,4.70141,4.67000,4.66667,4.65025,4.64651,4.61986,4.60579,4.56295,4.50000,4.49355,4.44444,4.40367,4.38837,4.37749,4.37890,4.39855,4.40000,4.42105,4.40495,4.40000,4.40000,4.40000,4.39024,4.36800,4.37993,4.40000,4.43077,4.43330,4.43566,4.45363,4.44444,4.42251,4.40816,4.40000,4.40000,4.39024,4.42105,4.44444,4.45723,4.47084,4.48348,4.48105,4.45913,4.42105,4.40000,4.33815,4.32000,4.29221,4.28571,4.28571,4.28571,4.29117,4.28699,4.28571,4.28571,4.28560,4.26563,4.26667,4.28571,4.31587,4.32283,4.32000,4.30218,4.29709,4.28341,4.28212,4.26302,4.28726,4.30515,4.31435,4.36090,4.38688,4.43077,4.45714,4.48598,4.50125,4.53407,4.55866,4.58824,4.64991,4.74290,4.81605,4.94118,5.08235,5.21518,5.28598,5.29412,5.29412,5.28000,5.24937,5.20000,5.14286,5.11497,5.06667,5.04000,5.00912,5.00000,5.00000,5.00000,5.00000,4.98939,4.97143,4.97592,4.99115
3,지방,지방,지방,8.78047,8.78047,8.78047,8.78047,8.78047,8.78047,8.70000,8.63085,8.57143,8.54244,8.47059,8.35093,8.27586,8.10074,8.07441,8.00000,8.00000,8.00000,8.00000,8.00000,8.00000,8.00000,7.99998,7.79410,7.71429,7.70381,7.63636,7.55245,7.50000,7.50000,7.50000,7.38462,7.30435,7.20000,7.20000,7.08107,7.10766,7.00244,7.00000,6.92485,6.92500,6.95498,6.86136,6.92907,6.85714,6.85714,6.79918,6.67085,6.66041,6.48649,6.46154,6.39680,6.31579,6.31579,6.26866,6.31579,6.14709,6.00680,6.00000,6.00000,6.00000,5.83784,5.76000,5.71429,5.71429,5.71429,5.68183,5.66038,5.58140,5.56121,5.45455,5.39326,5.33333,5.25000,5.25000,5.28000,5.30613,5.33333,5.35714,5.41767,5.38823,5.33333,5.33333,5.27473,5.28000,5.21739,5.25000,5.28587,5.26316,5.27826,5.30526,5.33333,5.33333,5.30387,5.28000,5.25000,5.14909,5.14286,5.14286,5.14286,5.18906,5.21739,5.21826,5.26805,5.25000,5.20453,5.14286,5.07000,5.06774,5.03025,5.00000,5.00427,5.00000,5.00220,5.05263,5.02956,5.00000,4.97647,4.94118,4.87588,4.80000,4.85692,4.89796,4.92308,4.94118,4.95429,4.93827,4.89108,4.83722,4.80000,4.80000,4.80000,4.80000,4.80185,4.86224,4.88889,4.90909,4.96000,4.98824,5.00000,5.00870,5.05263,5.13812,5.18182,5.25000,5.36471,5.48026,5.56550,5.61702,5.62922,5.64706,5.62500,5.60000,5.60000,5.56334,5.54790,5.53846,5.51111,5.53846,5.57143,5.60000,5.61060,5.62767,5.62978,5.60000,5.58993
4,5대광역시,5대광역시,5대광역시,7.80000,7.80000,7.80000,7.80000,7.80000,7.80000,7.66248,7.57895,7.50000,7.46824,7.38462,7.32220,7.28620,7.20945,7.20000,7.19013,7.09091,7.09003,7.05227,7.00000,7.00000,7.00000,6.92265,6.85714,6.85714,6.85714,6.78261,6.72000,6.66801,6.66667,6.57758,6.50781,6.46154,6.40000,6.35294,6.31308,6.24149,6.15896,6.15385,6.07059,6.04276,6.04546,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,5.99927,5.99783,5.83962,5.71502,5.64706,5.60000,5.53846,5.45455,5.40000,5.35607,5.30815,5.25000,5.20000,5.14286,5.10000,5.07692,5.09091,5.06667,5.04000,5.00000,4.94118,4.88036,4.80000,4.80000,4.78992,4.77229,4.80000,4.80000,4.80000,4.80000,4.80000,4.80000,4.80000,4.80000,4.80000,4.79851,4.72924,4.77114,4.80000,4.80000,4.80000,4.80000,4.80000,4.80000,4.80000,4.80000,4.74617,4.71429,4.66667,4.68841,4.71429,4.80000,4.80000,4.80000,4.80000,4.80000,4.80000,4.70437,4.65349,4.64516,4.61538,4.61538,4.61538,4.64516,4.64499,4.62920,4.61538,4.59314,4.53945,4.44444,4.41283,4.40221,4.40786,4.41121,4.42105,4.45714,4.44808,4.44444,4.44444,4.44432,4.41412,4.40063,4.40051,4.44444,4.50000,4.50245,4.55172,4.57478,4.61538,4.65064,4.69274,4.72727,4.79894,4.81897,4.90909,4.97006,5.07692,5.14788,5.24827,5.29412,5.33333,5.33333,5.29412,5.29412,5.28000,5.25000,5.25000,5.23965,5.21944,5.25000,5.26829,5.28000,5.26924,5.26452,5.25000,5.24211,5.24995
5,8개시도,8개시도,8개시도,10.00000,10.00000,10.00000,10.00000,10.00000,10.00000,9.99978,10.00000,9.95530,9.93103,9.71921,9.60000,9.42857,9.26938,9.25714,9.03401,9.08012,9.12000,9.23077,9.23077,9.03384,9.05660,9.00000,8.86154,8.58799,8.60603,8.57143,8.57143,8.47059,8.57143,8.44818,8.30729,8.17707,8.00000,8.00000,8.00000,8.00000,8.00000,8.00000,7.99759,7.91662,7.94590,7.91753,7.78862,7.67721,7.63636,7.52639,7.44710,7.39952,7.20000,7.18471,7.05952,7.06279,7.11864,7.05795,7.20000,7.14286,7.12500,7.00000,6.85714,6.85714,6.60000,6.54545,6.46154,6.40000,6.37500,6.34508,6.31798,6.22222,6.24807,6.10909,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,5.90164,5.98878,5.82897,5.92408,5.97732,5.93357,5.88288,5.92961,5.97044,5.94310,5.94059,5.98229,5.86812,5.71429,5.66780,5.64706,5.62500,5.62316,5.64706,5.64706,5.71429,5.66121,5.64706,5.64706,5.53846,5.51151,5.45911,5.45455,5.46288,5.45455,5.45455,5.53890,5.55556,5.56304,5.46908,5.46350,5.40000,5.42482,5.45455,5.45455,5.48105,5.53671,5.49024,5.45455,5.39326,5.33333,5.26829,5.23376,5.23636,5.19685,5.21739,5.23636,5.25000,5.25833,5.32017,5.33333,5.33333,5.33333,5.37951,5.45455,5.50000,5.57143,5.68681,5.91571,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,5.99920,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000
6,서울,서울,서울,7.38160,7.38160,7.38160,7.38160,7.38160,7.38160,7.33333,7.27371,7.23288,7.20000,7.20000,7.14228,7.09091,7.05882,7.02439,6.98787,6.96497,6.94737,6.90909,6.85714,6.85714,6.85714,6.78261,6.72000,6.69767,6.66667,6.62069,6.60280,6.55579,6.51885,6.46260,6.40000,6.35294,6.29450,6.22562,6.11830,6.00000,6.00000,5.93434,5.86787,5.82164,5.81818,5.79339,5.80190,5.76000,5.66420,5.58140,5.52000,5.45455,5.37555,5.33333,5.26316,5.21739,5.14286,5.10000,5.00000,4.94118,4.80626,4.80000,4.69565,4.61538,4.55172,4.50000,4.50000,4.49550,4.45714,4.43478,4.39024,4.36259,4.28571,4.24615,4.20000,4.17391,4.15000,4.13300,4.12500,4.12500,4.12903,4.10965,4.09756,4.08511,4.07143,4.06429,4.05195,4.00841,4.00084,4.00420,4.01759,4.05195,4.05405,4.06818,4.06780,4.04346,4.00066,4.00000,4.00000,4.00000,4.00000,4.00000,4.05936,4.07481,4.08511,4.08000,4.05390,4.02621,4.00000,4.00000,3.96470,3.98818,3.97991,3.99742,3.99436,3.99105,3.98534,3.96000,3.96925,3.96259,3.98010,3.94637,3.96148,3.98504,4.02232,4.07468,4.07562,4.06121,4.04329,4.01927,4.03960,4.02685,4.10065,4.14771,4.12500,4.15802,4.18125,4.20000,4.20000,4.19114,4.23529,4.25759,4.27176,4.26727,4.31084,4.38171,4.44000,4.50803,4.61538,4.76923,4.80000,4.80000,4.80000,4.80000,4.80000,4.74074,4.66667,4.68293,4.65882,4.64516,4.64497,4.63160,4.65000,4.62463,4.62857,4.61538,4.59512,4.58610,4.56774
7,서울,강북지역,강북지역,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.43567,7.38462,7.35450,7.32264,7.25107,7.20000,7.20000,7.20000,7.19943,7.11918,7.08088,7.06463,7.04681,7.01022,7.00000,6.97260,6.97091,6.94737,6.90324,6.84507,6.81537,6.78261,6.70099,6.66667,6.64521,6.57965,6.48322,6.40000,6.35294,6.26087,6.19934,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,5.99152,5.87755,5.81250,5.73913,5.67129,5.58140,5.50000,5.45455,5.39932,5.33333,5.28000,5.23077,5.16923,5.10510,5.01058,4.93952,4.82036,4.80000,4.74074,4.66262,4.63079,4.61538,4.58824,4.56303,4.52033,4.50000,4.44444,4.37324,4.33333,4.29056,4.28571,4.26667,4.26164,4.25442,4.25897,4.24605,4.21622,4.21622,4.21622,4.23439,4.21627,4.20000,4.20416,4.20140,4.20000,4.20335,4.21053,4.21583,4.20857,4.19359,4.19495,4.20000,4.18598,4.17298,4.16122,4.19417,4.21053,4.22061,4.22234,4.22273,4.20168,4.20000,4.17391,4.15385,4.09091,4.11940,4.11429,4.10642,4.11429,4.12500,4.13115,4.11726,4.11377,4.09756,4.09091,4.08592,4.10256,4.12500,4.17778,4.19118,4.19957,4.17391,4.15123,4.13265,4.13546,4.13453,4.18955,4.23830,4.23529,4.27826,4.30680,4.34467,4.35000,4.32000,4.36122,4.43120,4.44444,4.43791,4.47621,4.53686,4.59967,4.65733,4.79587,4.86139,4.94118,4.93043,4.94118,4.93388,4.92117,4.90283,4.85241,4.81859,4.80000,4.79829,4.76321,4.75784,4.76471,4.75862,4.76712,4.74074,4.73141,4.70283,4.68293
8,서울,도심권,도심권,7.34136,7.34136,7.34136,7.34136,7.34136,7.34136,7.30435,7.27273,7.25949,7.31576,7.20451,7.12465,7.09091,7.05882,7.05730,6.94039,6.95652,6.96774,6.89362,6.93395,6.92381,6.88987,6.79130,6.85714,6.75364,6.66667,6.65209,6.67918,6.60000,6.48508,6.50847,6.46154,6.35294,6.24000,6.19567,6.02404,6.00000,5.99882,5.80645,5.88679,5.84230,5.83151,5.84615,5.77611,5.76000,5.70863,5.60000,5.62677,5.60000,5.63286,5.56638,5.45455,5.40000,5.33333,5.23142,5.16923,5.14286,5.07692,4.96552,4.81350,4.86957,4.80000,4.79699,4.75675,4.76511,4.75799,4.69565,4.62857,4.57299,4.53333,4.48352,4.39827,4.34891,4.36364,4.30704,4.31785,4.31836,4.32000,4.27219,4.17391,4.12119,4.16327,4.13412,4.11868,4.09919,4.17760,4.20140,4.21289,4.23529,4.24763,4.26316,4.23529,4.23208,4.20000,4.21271,4.24812,4.20000,4.20000,4.17391,4.16921,4.20303,4.19393,4.23529,4.20645,4.20000,4.18649,4.17305,4.06563,4.13115,4.11429,4.13403,4.10526,4.10127,4.09756,4.08423,4.11765,4.13147,4.06168,4.06168,4.12420,4.19688,4.23792,4.23579,4.30252,4.32162,4.32063,4.21508,4.20166,4.19850,4.18909,4.35682,4.40665,4.43946,4.53099,4.48738,4.48631,4.45714,4.41009,4.42768,4.40913,4.45190,4.55741,4.67303,4.68387,4.70588,4.80000,4.95238,5.02159,5.10000,5.11638,5.13866,5.14286,5.10638,5.07344,5.03704,5.00000,4.96552,4.92527,4.94118,4.94505,4.96656,4.90639,4.90812,4.91106,4.87053,4.92000
9,서울,종로구,종로구,7.60808,7.60808,7.60808,7.60808,7.60808,7.60808,7.63636,7.38462,7.49143,7.63636,7.51831,7.20000,6.79245,6.75000,6.94097,6.79245,6.94097,7.05882,6.95115,6.89011,6.92308,6.75858,6.65255,6.85714,6.99385,6.77647,6.85714,6.93372,6.66771,6.48077,6.68116,6.46154,6.46154,6.40094,6.31816,6.21821,6.00000,6.30574,6.24155,6.13829,6.36163,6.50000,6.56729,6.24000,6.30321,6.03018,6.00000,6.31579,6.00000,6.04821,6.00000,6.00000,6.00000,6.00000,6.13333,6.00000,6.02934,5.63944,5.76936,5.41532,5.47102,5.21739,5.16923,5.40968,5.38462,5.45455,5.41945,5.33333,5.31716,5.09105,5.20778,5.16104,5.26829,5.23987,4.92294,4.69338,4.43029,4.34848,4.15385,3.99043,4.00000,4.08511,4.00252,4.08801,4.13147,4.35682,4.46512,4.52320,4.51990,4.81025,4.57893,4.47857,4.60387,4.37883,4.26675,4.23812,4.24073,4.19967,4.18399,4.13793,4.10733,4.18605,4.18126,4.20000,4.22947,4.20174,4.23118,4.00000,4.13316,4.15425,4.20000,4.11790,4.13793,4.10332,4.12500,4.47678,4.17391,4.06168,4.06168,4.06168,4.18032,4.20448,4.23579,4.53449,4.58434,4.43514,4.42857,4.39158,4.20332,4.18909,4.24475,4.41769,4.43946,4.39986,4.25850,4.36364,4.32000,4.11233,4.10526,3.99434,4.10039,4.12607,4.23529,4.40985,4.41545,4.61183,4.74457,4.81060,4.94388,4.91166,4.84404,4.99018,4.92696,4.78158,4.84074,4.79356,4.84701,4.88686,4.84706,4.82211,4.82072,4.92421,4.65306,4.77931,4.67025,4.59669
