buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
2006,, ,12,1,2020,"34,000",61.73,5,117,0,충정로대우디오빌,,,11410,서대문구,합동, 
2019,, ,21,1,2020,"17,000",13.56,9,90-22,0,슈테리움 오피스텔,,,11410,서대문구,대현동, 
2019,, ,18,1,2020,"3,000",14.09,3,56-83,55,한빛슈테리움2차,,,11410,서대문구,대현동, 
2017,, ,20,1,2020,"3,000",20.27,7,37-32,61,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2004,, ,21,1,2020,"1,000",21.9,8,45-5,60,이화인비따레오피스텔,,,11410,서대문구,대현동, 
2019,, ,18,1,2020,"1,000",13.78,8,90-15,68,아리움Ⅰ,,,11410,서대문구,대현동, 
2009,, ,20,1,2020,"1,000",25.35,16,192,70,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2019,, ,21,1,2020,"17,000",13.56,9,90-22,0,슈테리움 오피스텔,,,11410,서대문구,대현동, 
2006,, ,13,1,2020,"2,000",61.22,9,117,130,충정로대우디오빌,,,11410,서대문구,합동, 
2004,, ,17,1,2020,"3,000",27.31,4,97-64,70,경선파인 오피스텔,,,11410,서대문구,창천동, 
2006,, ,20,1,2020,"1,000",28.5,12,20-51,70,신영스카이텔,,,11410,서대문구,창천동, 
2009,, ,17,1,2020,"1,000",25.35,14,192,70,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2009,, ,10,1,2020,"1,000",25.35,5,192,70,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2019,, ,23,1,2020,"7,000",17.84,15,90-60,53,이대 포레스트,,,11410,서대문구,대현동, 
2009,, ,18,1,2020,"3,000",28.82,8,192,60,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2006,, ,9,1,2020,"34,000",58.53,15,117,0,충정로대우디오빌,,,11410,서대문구,합동, 
2018,, ,17,1,2020,"16,800",17.32,8,56-10,0,더가온 오피스텔,,,11410,서대문구,대현동, 
2009,, ,4,1,2020,"4,000",25.35,15,192,55,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2009,, ,11,1,2020,"1,000",25.35,13,192,75,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2006,, ,2,1,2020,"9,800",19.4,5,190,16,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2019,, ,8,1,2020,"3,000",17.37,9,90-15,73,아리움Ⅰ,,,11410,서대문구,대현동, 
2004,, ,3,1,2020,"14,000",22.54,6,103-6,0,라이온스톤,,,11410,서대문구,연희동, 
2019,, ,4,1,2020,"1,000",13.78,3,90-15,67,아리움Ⅰ,,,11410,서대문구,대현동, 
2003,, ,8,1,2020,"12,000",26.32,5,136-7,10,(136-7),,,11410,서대문구,연희동, 
2017,, ,5,1,2020,"3,000",15.06,5,90-44,48,이대프리젠#2,,,11410,서대문구,대현동, 
2019,, ,30,1,2020,"26,000",32.09,9,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2019,, ,14,1,2020,"25,000",32.09,3,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2019,, ,30,1,2020,"26,000",32.09,9,400-3,0,디에이원파크,,,11410,서대문구,홍은동, 
2006,, ,30,1,2020,"10,000",19.4,7,190,20,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2019,, ,8,1,2020,"1,000",17.84,4,90-60,80,이대 포레스트,,,11410,서대문구,대현동, 
2018,, ,11,1,2020,"15,500",19.21,4,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2005,, ,13,1,2020,"1,000",22.74,7,27-20,65,신촌가이아,,,11410,서대문구,대현동, 
2017,, ,30,1,2020,"1,000",15.6,9,90-44,70,이대프리젠#2,,,11410,서대문구,대현동, 
2017,, ,29,1,2020,"1,900",20.27,3,37-32,66,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2019,, ,13,1,2020,"1,000",18.87,11,110-22,95,신촌 스타게이트,,,11410,서대문구,대현동, 
2007,, ,16,1,2020,"25,000",89.73,1,340-27,40,현대싱그런,,,11410,서대문구,연희동, 
2018,, ,30,1,2020,"1,000",18.31,9,56-10,75,더가온 오피스텔,,,11410,서대문구,대현동, 
2005,, ,3,1,2020,"16,000",26.34,11,29-81,0,신촌 르메이에르타운5,,,11410,서대문구,창천동, 
2018,, ,4,1,2020,"1,000",18.31,8,56-10,70,더가온 오피스텔,,,11410,서대문구,대현동, 
2018,, ,15,1,2020,"15,000",19.9,4,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2019,, ,11,1,2020,"1,000",17.84,6,90-60,78,이대 포레스트,,,11410,서대문구,대현동, 
2017,, ,21,1,2020,"1,000",15.6,6,90-44,65,이대프리젠#2,,,11410,서대문구,대현동, 
2019,, ,19,1,2020,"3,000",16.13,10,90-15,70,아리움Ⅰ,,,11410,서대문구,대현동, 
2019,, ,26,1,2020,"1,000",15.88,3,90-15,80,아리움Ⅰ,,,11410,서대문구,대현동, 
2017,, ,4,1,2020,"3,000",20.27,7,37-32,55,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2018,, ,22,1,2020,"1,000",27.16,5,1013,92,이편한세상신촌,,,11410,서대문구,북아현동, 
2017,, ,10,1,2020,"6,000",15.24,9,90-44,40,이대프리젠#2,,,11410,서대문구,대현동, 
2014,, ,11,1,2020,"23,000",29.62,15,104-36,0,신촌자이엘라,,,11410,서대문구,대현동, 
2003,, ,17,1,2020,"13,000",26.03,7,136-7,15,(136-7),,,11410,서대문구,연희동, 
2019,, ,29,1,2020,"1,000",13.39,4,90-22,65,슈테리움 오피스텔,,,11410,서대문구,대현동, 
2014,20.02~21.02,신규,22,1,2020,"1,000",28.43,13,104-5,90,신촌푸르지오시티,,,11410,서대문구,대현동, 
2009,, ,3,1,2020,"5,000",25.35,17,192,50,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2019,, ,30,1,2020,"1,000",17.84,9,90-60,82,이대 포레스트,,,11410,서대문구,대현동, 
2004,, ,18,1,2020,"1,000",24.29,9,45-5,65,이화인비따레오피스텔,,,11410,서대문구,대현동, 
2019,, ,12,1,2020,"1,000",15.88,7,90-15,80,아리움Ⅰ,,,11410,서대문구,대현동, 
2017,, ,14,1,2020,"1,000",19.31,4,37-32,71,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2015,, ,27,1,2020,"1,000",18.27,5,90-58,65,(90-58),,,11410,서대문구,대현동, 
2018,, ,14,1,2020,"15,500",19.21,5,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2014,, ,18,1,2020,"23,000",26.82,5,104-5,0,신촌푸르지오시티,,,11410,서대문구,대현동, 
2005,, ,31,1,2020,"5,000",32.6,12,27-20,70,신촌가이아,,,11410,서대문구,대현동, 
2019,, ,28,1,2020,"3,000",14.22,4,56-83,55,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,20,1,2020,"4,500",14.09,7,56-83,55,한빛슈테리움2차,,,11410,서대문구,대현동, 
2019,, ,29,1,2020,"1,000",16.13,8,90-15,75,아리움Ⅰ,,,11410,서대문구,대현동, 
2006,, ,17,1,2020,"1,000",28.5,8,20-51,70,신영스카이텔,,,11410,서대문구,창천동, 
2019,, ,22,1,2020,"2,000",13.57,4,56-83,60,한빛슈테리움2차,,,11410,서대문구,대현동, 
2003,, ,16,1,2020,"1,000",18.9,4,188-57,55,(188-57),,,11410,서대문구,연희동, 
2019,, ,17,1,2020,"3,500",14.09,5,56-83,58,한빛슈테리움2차,,,11410,서대문구,대현동, 
