buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,houseType,jibun,mhouseNm,monthlyRent,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
2002,, ,16,1,2020,500,36.21,3,다세대,265-71,화이트빌8,48,,,11410,홍은동, 
2018,, ,18,1,2020,"34,000",41.93,4,다세대,295-37,한신갤러리시그니처,0,,,11410,북가좌동, 
2012,, ,8,1,2020,500,16.76,3,다세대,324-13,라온빌,53,,,11410,남가좌동, 
2019,, ,13,1,2020,983,63.04,3,연립다세대,466,청년미래공동체주택(임대),13,,,11410,홍은동, 
2019,, ,13,1,2020,"1,388",59.29,5,연립다세대,466,청년미래공동체주택(임대),18,,,11410,홍은동, 
2015,, ,31,1,2020,"16,000",29.28,5,다세대,98-20,금화팰리스,0,,,11410,천연동, 
2018,, ,7,1,2020,"10,000",38.37,3,다세대,27-2,서대문은옥재,30,,,11410,냉천동, 
2016,, ,19,1,2020,"5,000",55.5,5,다세대,136-30,연희휴니스빌,100,,,11410,연희동, 
2019,, ,31,1,2020,"14,000",21.1,4,다세대,10-236,미소지움,0,,,11410,홍은동, 
2018,, ,30,1,2020,"23,000",21,8,다세대,90-35,이대다올노블리움2차(비동),0,,,11410,대현동, 
2018,, ,11,2,2020,"18,000",23.99,4,다세대,398-1,빛나는빌드,0,,,11410,홍은동, 
2015,, ,11,2,2020,"13,000",22.67,2,다세대,724-29,금창빌라,0,,,11410,연희동, 
2019,, ,22,2,2020,"15,000",22.65,3,다세대,10-310,미소지움105동,0,,,11410,홍은동, 
2017,, ,12,2,2020,"30,000",59.9,4,다세대,351-16,금정빌딩,0,,,11410,북가좌동, 
2013,, ,10,2,2020,"30,500",59.94,3,연립,68-40,(68-40),0,,,11410,창천동, 
2019,, ,8,2,2020,"29,000",42.42,4,다세대,136-1,제니스빌,0,,,11410,홍제동, 
2015,, ,26,2,2020,"12,500",24.06,4,다세대,724-29,금창빌라,0,,,11410,연희동, 
2010,, ,24,2,2020,"13,800",29.35,5,다세대,274-13,신일아트빌,0,,,11410,북가좌동, 
2003,, ,15,2,2020,"10,000",41.76,1,연립,136,혜성빌,30,,,11410,대신동, 
2002,, ,18,2,2020,"3,000",58.68,3,다세대,194-55,연훈빌라,50,,,11410,연희동, 
2002,, ,19,3,2020,"20,000",58.38,4,다세대,1-71,예우빌리지B동,0,,,11410,북아현동, 
2010,, ,21,3,2020,"1,000",64.05,2,다세대,3-14,진에쉐르,40,,,11410,북가좌동, 
2013,, ,7,3,2020,"10,000",29.96,5,다세대,340-32,진성아트빌,30,,,11410,북가좌동, 
1994,, ,31,3,2020,"32,000",108.55,4,다세대,446-321,명성빌라(446-321),0,,,11410,연희동, 
2006,, ,31,3,2020,"3,000",54.05,4,연립,5-100,에이스빌(5-100),50,,,11410,북가좌동, 
2006,, ,31,3,2020,"3,000",54.05,4,연립,5-100,에이스빌(5-100),50,,,11410,북가좌동, 
2012,, ,21,3,2020,500,46.64,4,다세대,100-77,쎈스빌,60,,,11410,창천동, 
2019,, ,30,3,2020,"27,500",24.98,12,다세대,400-3,디에이원파크,0,,,11410,홍은동, 
2013,, ,23,3,2020,"24,000",44.23,2,다세대,413-34,동부홈타운,0,,,11410,홍은동, 
2013,, ,18,3,2020,"2,000",20,2,다세대,37-4,서호빌,55,,,11410,충정로2가, 
2019,, ,27,4,2020,"1,441",52.65,2,다세대,466,청년미래공동체주택(임대),19,,,11410,홍은동, 
2012,, ,27,4,2020,500,13.69,1,다세대,100-77,쎈스빌,55,,,11410,창천동, 
