buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,houseType,monthlyRent,preDeposit,preMonthlyRent,sggCd,totalFloorAr,umdNm,useRRRight
1992,11.01~13.01, ,7,1,2011,"2,000",다가구,40,,,11410,39.7,영천동, 
1997,, ,25,1,2011,"6,000",단독,0,,,11410,94.95,북가좌동, 
2005,, ,23,1,2011,"7,000",다가구,0,,,11410,38,연희동, 
1991,, ,5,1,2011,500,단독,20,,,11410,59.4,연희동, 
1993,, ,24,1,2011,"2,000",다가구,15,,,11410,41,북아현동, 
2005,, ,23,1,2011,"7,000",다가구,0,,,11410,38,연희동, 
1993,, ,14,1,2011,"1,000",다가구,30,,,11410,49.5,북가좌동, 
2010,, ,17,1,2011,"1,000",다가구,50,,,11410,32,연희동, 
1971,, ,12,1,2011,"2,000",단독,60,,,11410,65,대신동, 
1976,, ,15,1,2011,500,단독,45,,,11410,33,연희동, 
1992,, ,17,2,2011,500,다가구,40,,,11410,154,연희동, 
1977,, ,6,2,2011,"1,000",단독,35,,,11410,30,북가좌동, 
1991,, ,24,2,2011,300,다가구,30,,,11410,36.36,남가좌동, 
1976,, ,10,2,2011,500,단독,30,,,11410,39.47,북가좌동, 
1991,, ,28,2,2011,500,다가구,31,,,11410,29,북가좌동, 
1998,, ,14,2,2011,"9,000",다가구,0,,,11410,90.53,연희동, 
1985,, ,16,2,2011,"3,000",단독,40,,,11410,68.47,홍은동, 
1991,, ,14,2,2011,500,다가구,30,,,11410,26,북아현동, 
1991,, ,18,2,2011,"1,500",다가구,20,,,11410,68.82,홍제동, 
,, ,8,2,2011,"6,000",단독,0,,,11410,59.4,홍제동, 
1994,, ,3,3,2011,"1,000",다가구,50,,,11410,57.47,남가좌동, 
1994,, ,10,3,2011,"2,000",다가구,34,,,11410,55.09,북아현동, 
1991,, ,25,3,2011,500,다가구,40,,,11410,37.05,홍제동, 
1994,, ,28,3,2011,"3,000",단독,10,,,11410,16.5,연희동, 
1990,, ,24,3,2011,300,다가구,30,,,11410,66.11,홍은동, 
1992,, ,19,3,2011,500,단독,25,,,11410,49,북아현동, 
1996,, ,8,3,2011,"1,000",다가구,55,,,11410,40,북아현동, 
2015,, ,31,3,2011,"1,000",단독,10,,,11410,38.4,북가좌동, 
1961,, ,14,3,2011,400,단독,25,,,11410,46.18,홍제동, 
1991,, ,17,3,2011,"4,000",단독,37,,,11410,69.56,남가좌동, 
1977,, ,25,4,2011,500,단독,30,,,11410,38,북가좌동, 
1991,, ,25,4,2011,"1,500",다가구,26,,,11410,36.36,남가좌동, 
1998,, ,8,4,2011,"3,000",다가구,70,,,11410,59.22,북아현동, 
1993,, ,12,4,2011,"3,000",다가구,40,,,11410,64.19,홍제동, 
1992,, ,15,4,2011,"3,000",단독,25,,,11410,57.75,홍은동, 
1978,, ,1,4,2011,"9,000",단독,0,,,11410,76.69,북가좌동, 
1978,, ,23,4,2011,300,단독,30,,,11410,28.76,충정로3가, 
1997,, ,11,4,2011,"2,500",다가구,35,,,11410,42,홍은동, 
1987,, ,4,4,2011,"5,000",단독,10,,,11410,46.07,북가좌동, 
1990,, ,1,4,2011,"1,000",단독,35,,,11410,44.5,홍제동, 
,, ,18,5,2011,"5,000",다가구,0,,,11410,27.27,홍제동, 
1973,, ,15,5,2011,"2,500",단독,0,,,11410,33.05,연희동, 
1969,, ,16,5,2011,"8,000",단독,0,,,11410,57.85,연희동, 
1992,, ,11,5,2011,"1,000",다가구,60,,,11410,58.1,북아현동, 
,, ,4,5,2011,"8,000",단독,0,,,11410,90,홍은동, 
2002,, ,21,5,2011,500,다가구,50,,,11410,33,창천동, 
1995,, ,12,5,2011,"7,500",다가구,0,,,11410,40,홍제동, 
1991,, ,9,5,2011,"1,000",단독,30,,,11410,30,북가좌동, 
1994,, ,16,5,2011,"7,000",다가구,0,,,11410,43,홍제동, 
1992,, ,26,5,2011,"8,000",단독,0,,,11410,66.54,천연동, 
1992,11.06~13.06,신규,9,6,2011,"4,000",다가구,30,,,11410,148.86,홍은동, 
1993,11.07~13.07, ,8,6,2011,"4,000",단독,40,,,11410,49.86,남가좌동, 
1994,, ,9,6,2011,500,다가구,30,,,11410,25,북가좌동, 
1990,, ,4,6,2011,"1,000",다가구,30,,,11410,33,북가좌동, 
1989,, ,30,6,2011,"1,800",다가구,30,,,11410,23,홍제동, 
1983,, ,1,6,2011,400,단독,45,,,11410,46.2,연희동, 
1997,, ,20,6,2011,"9,300",다가구,0,,,11410,53.1,북아현동, 
1988,, ,15,6,2011,"6,000",단독,10,,,11410,76.59,홍은동, 
1992,, ,24,6,2011,"5,000",다가구,5,,,11410,35.93,북아현동, 
1991,, ,17,6,2011,"7,500",다가구,0,,,11410,42,북아현동, 
1984,, ,25,7,2011,"1,800",단독,10,,,11410,23.1,연희동, 
1996,, ,1,7,2011,"6,000",다가구,0,,,11410,33.06,북아현동, 
1989,, ,19,7,2011,300,단독,32,,,11410,27.32,연희동, 
,, ,1,7,2011,"9,000",단독,0,,,11410,72,북가좌동, 
,, ,1,7,2011,"12,000",단독,0,,,11410,72.3,북가좌동, 
1995,, ,2,7,2011,300,다가구,25,,,11410,16,북아현동, 
1989,, ,19,7,2011,300,단독,32,,,11410,27.32,연희동, 
,, ,19,7,2011,200,단독,25,,,11410,42,홍제동, 
1972,, ,10,7,2011,50,단독,13,,,11410,13.2,북아현동, 
,, ,14,7,2011,"2,000",단독,40,,,11410,57.6,북가좌동, 
1990,, ,13,8,2011,"10,000",다가구,0,,,11410,47.11,북아현동, 
1994,, ,12,8,2011,"1,200",다가구,63,,,11410,76.05,북가좌동, 
1991,, ,13,8,2011,"2,000",다가구,25,,,11410,34.44,홍은동, 
1957,, ,6,8,2011,"6,500",단독,10,,,11410,36.67,북아현동, 
1969,, ,1,8,2011,"1,000",단독,40,,,11410,79.95,홍은동, 
1998,, ,18,8,2011,"10,000",다가구,0,,,11410,82.53,연희동, 
1984,, ,25,8,2011,"10,000",단독,20,,,11410,83.16,홍제동, 
1991,, ,24,8,2011,"20,000",단독,0,,,11410,127.83,연희동, 
1997,, ,22,8,2011,"3,200",단독,30,,,11410,42,북가좌동, 
1996,, ,30,8,2011,"5,000",다가구,0,,,11410,29.75,홍은동, 
1990,, ,14,9,2011,"2,500",다가구,0,,,11410,35,연희동, 
1966,, ,24,9,2011,500,단독,20,,,11410,23,홍제동, 
1993,, ,25,9,2011,"1,500",단독,42,,,11410,33,천연동, 
1988,, ,15,9,2011,100,단독,21,,,11410,20,북가좌동, 
1990,, ,19,9,2011,"1,000",다가구,20,,,11410,25,북아현동, 
1993,, ,25,9,2011,"1,500",단독,42,,,11410,20,천연동, 
1993,, ,2,9,2011,500,다가구,40,,,11410,33,홍제동, 
1935,, ,26,9,2011,"9,500",단독,0,,,11410,39.67,충정로3가, 
