buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,houseType,monthlyRent,preDeposit,preMonthlyRent,sggCd,totalFloorAr,umdNm,useRRRight
1993,, ,8,1,2020,300,다가구,35,,,11410,149.7,연희동, 
2002,, ,18,1,2020,"1,000",다가구,50,,,11410,19.8,연희동, 
1998,, ,31,1,2020,"14,000",다가구,0,,,11410,33.27,대신동, 
2003,, ,24,1,2020,"5,000",다가구,0,,,11410,18,홍은동, 
1987,, ,28,1,2020,"2,000",다가구,45,,,11410,33,창천동, 
2017,, ,26,1,2020,"1,000",다가구,58,,,11410,18.5,창천동, 
1995,, ,7,1,2020,"7,000",다가구,0,,,11410,26,연희동, 
,, ,14,1,2020,500,다가구,47,,,11410,13.53,홍은동, 
1989,, ,18,1,2020,500,다가구,50,,,11410,15,창천동, 
2001,, ,23,1,2020,500,다가구,45,,,11410,15,대신동, 
1998,, ,10,2,2020,"6,000",다가구,50,,,11410,19,대신동, 
1996,, ,29,2,2020,"2,000",단독,40,,,11410,18.5,창천동, 
2013,, ,18,2,2020,"5,000",다가구,0,,,11410,15,남가좌동, 
1998,, ,1,2,2020,500,다가구,38,,,11410,20,남가좌동, 
2016,, ,15,2,2020,300,단독,45,,,11410,15,북가좌동, 
1995,, ,6,2,2020,500,다가구,40,,,11410,22.4,연희동, 
2005,, ,28,2,2020,"2,000",다가구,50,,,11410,24,연희동, 
2011,, ,16,2,2020,"1,000",단독,45,,,11410,23,연희동, 
1984,, ,5,2,2020,500,단독,35,,,11410,15.23,신촌동, 
1991,, ,29,2,2020,"2,000",단독,80,,,11410,55,창천동, 
2011,, ,17,3,2020,10,단독,30,,,11410,10,남가좌동, 
1992,, ,30,3,2020,"4,000",다가구,50,,,11410,48,북가좌동, 
2010,, ,10,3,2020,"1,000",다가구,50,,,11410,16.5,창천동, 
1992,, ,16,3,2020,100,다가구,30,,,11410,19,남가좌동, 
,, ,21,3,2020,"30,000",다가구,0,,,11410,79.26,연희동, 
,, ,9,3,2020,"3,000",다가구,40,,,11410,11.6,창천동, 
1997,, ,9,3,2020,500,다가구,45,,,11410,36,남가좌동, 
1993,, ,2,3,2020,500,다가구,40,,,11410,22.9,천연동, 
1997,, ,13,3,2020,500,다가구,45,,,11410,24,대현동, 
1991,, ,26,3,2020,"1,000",다가구,50,,,11410,29.75,창천동, 
1994,, ,18,4,2020,500,단독,50,,,11410,27,대현동, 
2006,, ,29,4,2020,"16,000",다가구,0,,,11410,65,연희동, 
