,dealDate,deposit,monthlyRent,ChangeRate,calcedRent,excluUseAr,RPA,aptNm,buildYear,contractTerm,contractType,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
0,20110102,17000.0,0.0,7.2,102.0,59.788,1.71,래미안남가좌2차,2005,, ,1.0,379,,,11410,남가좌동, 
1,20110102,16000.0,0.0,7.2,96.0,60.06,1.6,홍제한양,1993,, ,13.0,82,,,11410,홍제동, 
2,20110102,15000.0,0.0,7.2,90.0,59.7,1.51,신촌럭키,1999,11.01~13.01,신규,5.0,144,,,11410,대현동, 
3,20110102,15000.0,0.0,7.2,90.0,59.76,1.51,월드컵현대,1998,, ,15.0,371-1,,,11410,북가좌동, 
4,20110102,18000.0,0.0,7.2,108.0,84.96,1.27,홍은동벽산,1997,, ,6.0,455,,,11410,홍은동, 
5,20110102,19000.0,0.0,7.2,114.0,75.66,1.51,독립문삼호,1995,, ,9.0,100,,,11410,영천동, 
6,20110103,17000.0,0.0,7.2,102.0,59.97,1.7,DMC래미안클라시스,2000,, ,12.0,377,,,11410,남가좌동, 
7,20110103,18500.0,0.0,7.2,111.0,84.99,1.31,DMC휴먼빌아파트,2008,11.02~13.02,신규,3.0,456,,,11410,북가좌동, 
8,20110103,18000.0,0.0,7.2,108.0,59.96,1.8,두산,1999,, ,8.0,1009,,,11410,북아현동, 
9,20110103,32000.0,0.0,7.2,192.0,114.63,1.67,독립문삼호,1995,, ,3.0,100,,,11410,영천동, 
10,20110103,34000.0,0.0,7.2,204.0,114.705,1.78,대우푸르지오,2002,, ,14.0,739,,,11410,연희동, 
11,20110103,528.0,8.0,7.2,11.168,32.67,0.34,홍제원현대(459-1),2000,, ,1.0,459-1,,,11410,홍제동, 
12,20110103,14000.0,0.0,7.2,84.0,58.5,1.44,풍림2,1990,, ,11.0,453-2,,,11410,홍은동, 
13,20110103,468.0,8.0,7.2,10.808,27.0,0.4,독립문극동(201-0),1998,, ,15.0,201,,,11410,현저동, 
14,20110103,32000.0,0.0,7.2,192.0,119.49,1.61,대림,1993,, ,3.0,700,,,11410,연희동, 
15,20110103,17500.0,0.0,7.2,105.0,59.58,1.76,독립문극동(200-0),1998,, ,1.0,200,,,11410,현저동, 
16,20110103,18000.0,0.0,7.2,108.0,59.89,1.8,청구2차,1997,, ,8.0,453-1,,,11410,홍제동, 
17,20110103,36000.0,0.0,7.2,216.0,84.99,2.54,돈의문센트레빌,2011,, ,6.0,261,,,11410,냉천동, 
18,20110104,23000.0,0.0,7.2,138.0,84.77,1.63,홍제한양,1993,, ,15.0,82,,,11410,홍제동, 
19,20110104,14000.0,0.0,7.2,84.0,72.34,1.16,유원하나,1996,, ,10.0,454,,,11410,홍제동, 
20,20110104,27000.0,0.0,7.2,162.0,84.87,1.91,독립문극동(200-0),1998,, ,5.0,200,,,11410,현저동, 
21,20110104,2646.0,0.0,7.2,15.876000000000001,32.67,0.49,홍제원현대(459-1),2000,, ,3.0,459-1,,,11410,홍제동, 
22,20110104,24000.0,0.0,7.2,144.0,114.9,1.25,남가좌동현대,1999,, ,14.0,376,,,11410,남가좌동, 
23,20110104,22000.0,0.0,7.2,132.0,59.58,2.22,독립문극동(200-0),1998,11.01~13.01,신규,4.0,200,,,11410,현저동, 
24,20110104,16000.0,0.0,7.2,96.0,59.4,1.62,남가좌동현대,1999,, ,13.0,376,,,11410,남가좌동, 
25,20110105,30000.0,0.0,7.2,180.0,125.256,1.44,인왕산한신휴플러스,2009,, ,5.0,469,,,11410,홍제동, 
26,20110105,21000.0,0.0,7.2,126.0,84.9,1.48,DMC래미안클라시스,2000,, ,3.0,377,,,11410,남가좌동, 
27,20110105,5000.0,0.0,7.2,30.0,84.909,0.35,에스케이뷰,2008,, ,13.0,118,,,11410,합동, 
28,20110105,23000.0,0.0,7.2,138.0,84.78,1.63,청구1차,1994,, ,7.0,453,,,11410,홍제동, 
29,20110105,20000.0,0.0,7.2,120.0,84.92,1.41,반석블레스,2013,, ,10.0,440-1,,,11410,홍은동, 
30,20110105,12000.0,0.0,7.2,72.0,46.99,1.53,태영으뜸(데시앙),1998,, ,3.0,373,,,11410,홍제동, 
31,20110105,15000.0,0.0,7.2,90.0,84.6,1.06,럭키힐,2005,, ,7.0,312-67,,,11410,홍제동, 
